"workerid","rt","trial_type","property_type","trial_num","category","prevalence","explanation","response","prevalence_level","property","left_button"
2,1046,"truth_conditions","diet",19,"zoovs",26,NA,0,30,"eat human food","False"
2,1038,"truth_conditions","disease_self",20,"crullets",74,NA,1,70,"get dandruff","False"
2,1690,"truth_conditions","behavior",21,"ollers",7,NA,0,10,"perform in the circus","False"
2,1161,"truth_conditions","disease_other",22,"kweps",14,NA,0,10,"carry malaria","False"
2,1727,"truth_conditions","psychological",23,"moxes",71,NA,1,70,"are intelligent","False"
2,1319,"truth_conditions","psychological",24,"kazzes",7,NA,0,10,"mourn their dead","False"
2,1359,"truth_conditions","disease_self",25,"dunkels",65,NA,1,70,"get addicted to nicotine","False"
3,9136,"truth_conditions","psychological",1,"reesles",10,NA,0,10,"mourn their dead","False"
3,3900,"truth_conditions","behavior_aggressive",2,"kazzes",95,NA,0,90,"torture other animals","False"
3,3833,"truth_conditions","diet",3,"stups",11,NA,0,10,"feed on the carcasses of dead animals","False"
3,4171,"truth_conditions","diet",4,"mooks",28,NA,1,30,"fish in the Hudson River","False"
3,2597,"truth_conditions","behavior_aggressive",5,"dobles",8,NA,0,10,"steal farmers&quotechar crops","False"
3,2554,"truth_conditions","diet",6,"zoovs",52,NA,0,50,"eat human food","False"
3,2128,"truth_conditions","physical",7,"ollers",73,NA,1,70,"have very long wings","False"
3,1990,"truth_conditions","psychological",8,"plovs",31,NA,0,30,"are intelligent","False"
3,1996,"truth_conditions","habitat",9,"grinks",10,NA,1,10,"live in urban areas","False"
3,2904,"truth_conditions","behavior",10,"javs",93,NA,0,90,"sleep during the day","False"
3,4686,"truth_conditions","psychological",11,"dorbs",87,NA,0,90,"are afraid of loud noises","False"
3,3920,"truth_conditions","psychological",12,"ackles",75,NA,0,70,"know when earthquakes are about to happen","False"
3,2516,"truth_conditions","disease_self",13,"elleps",46,NA,0,50,"go bald","False"
3,2126,"truth_conditions","disease_other",14,"glippets",75,NA,0,70,"carry malaria","False"
3,2126,"truth_conditions","diet",15,"moxes",49,NA,0,50,"eat grass","False"
3,2060,"truth_conditions","behavior",16,"frams",13,NA,0,10,"like to cuddle","False"
3,1973,"truth_conditions","physical",17,"lorches",67,NA,1,70,"have brown fur","False"
3,2379,"truth_conditions","disease_self",18,"thups",68,NA,1,70,"get dandruff","False"
3,1984,"truth_conditions","behavior_aggressive",19,"blins",94,NA,0,90,"attack hikers","False"
3,4292,"truth_conditions","habitat",20,"dunkels",25,NA,1,30,"live in the hulls of sea vessels","False"
3,2525,"truth_conditions","disease_self",21,"feps",52,NA,0,50,"get addicted to nicotine","False"
3,2552,"truth_conditions","disease_self",22,"zorbs",27,NA,0,30,"develop back problems","False"
3,3927,"truth_conditions","behavior",23,"luzaks",29,NA,0,30,"perform in the circus","False"
3,6136,"truth_conditions","habitat",24,"trufts",45,NA,1,50,"live in zoos","False"
3,2483,"truth_conditions","diet",25,"taifels",88,NA,0,90,"drink soda","False"
3,14417,"explain_responses","diet",4,"mooks",28,"It&quotechars possible that a lot of them are located near the Hudson river",1,30,"fish in the Hudson River",NA
3,14102,"explain_responses","disease_other",14,"glippets",75,"It&quotechars unlikely that such a large percentage of them would cary the disease.",0,70,"carry malaria",NA
3,14095,"explain_responses","behavior_aggressive",19,"blins",94,"I don&quotechart believe such a large percent would be so aggressive",0,90,"attack hikers",NA
3,66961,"explain_responses","behavior_aggressive",2,"kazzes",95,"I think it&quotechars unlikely that a large percent of them would torture other animals.",0,90,"torture other animals",NA
4,18245,"truth_conditions","disease_self",1,"ackles",27,NA,1,30,"develop back problems","False"
4,14261,"truth_conditions","behavior",2,"fendles",89,NA,1,90,"perform in the circus","False"
4,14492,"truth_conditions","disease_self",3,"crullets",12,NA,0,10,"get addicted to nicotine","False"
4,18116,"truth_conditions","diet",4,"moxes",74,NA,1,70,"fish in the Hudson River","False"
4,50979,"truth_conditions","habitat",5,"dorbs",7,NA,0,10,"live in urban areas","False"
4,14102,"truth_conditions","disease_self",6,"ollers",75,NA,1,70,"go bald","False"
4,45036,"truth_conditions","habitat",7,"elleps",26,NA,0,30,"live in the hulls of sea vessels","False"
4,9597,"truth_conditions","habitat",8,"javs",55,NA,1,50,"live in zoos","False"
4,9193,"truth_conditions","physical",9,"ludinos",31,NA,0,30,"have very long wings","False"
4,6347,"truth_conditions","behavior_aggressive",10,"zoovs",7,NA,0,10,"steal farmers&quotechar crops","False"
4,7402,"truth_conditions","diet",11,"zorbs",71,NA,1,70,"drink soda","False"
4,7289,"truth_conditions","psychological",12,"glippets",33,NA,0,30,"are afraid of loud noises","False"
4,5664,"truth_conditions","behavior",13,"trufts",87,NA,1,90,"sleep during the day","False"
4,38638,"truth_conditions","diet",14,"mooks",93,NA,1,90,"feed on the carcasses of dead animals","False"
4,4524,"truth_conditions","psychological",15,"blins",35,NA,0,30,"are intelligent","False"
4,5354,"truth_conditions","psychological",16,"daiths",71,NA,1,70,"know when earthquakes are about to happen","False"
4,4791,"truth_conditions","diet",17,"reesles",8,NA,0,10,"eat grass","False"
4,13084,"truth_conditions","diet",18,"cheebas",74,NA,1,70,"eat human food","False"
4,4820,"truth_conditions","behavior_aggressive",19,"luzaks",8,NA,0,10,"torture other animals","False"
4,4914,"truth_conditions","disease_other",20,"stups",54,NA,1,50,"carry malaria","False"
4,4455,"truth_conditions","behavior",21,"feps",91,NA,1,90,"like to cuddle","False"
4,7200,"truth_conditions","physical",22,"morseths",52,NA,0,50,"have brown fur","False"
4,35900,"truth_conditions","psychological",23,"frams",52,NA,1,50,"mourn their dead","False"
4,4647,"truth_conditions","behavior_aggressive",24,"krivels",93,NA,1,90,"attack hikers","False"
4,10450,"truth_conditions","disease_self",25,"kweps",48,NA,1,50,"get dandruff","False"
4,87327,"explain_responses","disease_self",1,"ackles",27,"This was very early on and I hadn&quotechart really gotten a feel for where I was going to draw the line. In retrospect, I think 27% develop problems should be false.",1,30,"develop back problems",NA
5,80527,"truth_conditions","physical",1,"glippets",94,NA,1,90,"have very long wings","True"
5,1905,"truth_conditions","diet",2,"cheebas",27,NA,0,30,"fish in the Hudson River","True"
5,3435,"truth_conditions","habitat",3,"kweps",48,NA,1,50,"live in urban areas","True"
5,5913,"truth_conditions","psychological",4,"dunkels",8,NA,0,10,"are intelligent","True"
5,4136,"truth_conditions","physical",5,"taifels",10,NA,0,10,"have brown fur","True"
5,1973,"truth_conditions","psychological",6,"grinks",91,NA,1,90,"are afraid of loud noises","True"
5,2214,"truth_conditions","diet",7,"sapers",49,NA,1,50,"eat human food","True"
5,6061,"truth_conditions","behavior_aggressive",8,"zoovs",50,NA,1,50,"steal farmers&quotechar crops","True"
5,1712,"truth_conditions","disease_self",9,"luzaks",54,NA,1,50,"get dandruff","True"
5,1844,"truth_conditions","disease_self",10,"stups",86,NA,1,90,"develop back problems","True"
5,2685,"truth_conditions","habitat",11,"crullets",25,NA,0,30,"live in the hulls of sea vessels","True"
5,6919,"truth_conditions","disease_other",12,"thups",48,NA,1,50,"carry malaria","True"
5,3302,"truth_conditions","behavior_aggressive",13,"wugs",71,NA,1,70,"torture other animals","True"
5,3251,"truth_conditions","behavior_aggressive",14,"mooks",27,NA,1,30,"attack hikers","True"
5,5076,"truth_conditions","disease_self",15,"javs",35,NA,1,30,"go bald","True"
5,1805,"truth_conditions","behavior",16,"plovs",95,NA,1,90,"sleep during the day","True"
5,3745,"truth_conditions","disease_self",17,"lorches",7,NA,0,10,"get addicted to nicotine","True"
5,2068,"truth_conditions","psychological",18,"blins",7,NA,0,10,"mourn their dead","True"
5,5180,"truth_conditions","behavior",19,"ollers",70,NA,1,70,"like to cuddle","True"
5,2137,"truth_conditions","behavior",20,"fendles",73,NA,1,70,"perform in the circus","True"
5,1690,"truth_conditions","diet",21,"ackles",95,NA,1,90,"eat grass","True"
5,10252,"truth_conditions","psychological",22,"zorbs",9,NA,0,10,"know when earthquakes are about to happen","True"
5,3228,"truth_conditions","diet",23,"feps",33,NA,1,30,"feed on the carcasses of dead animals","True"
5,4720,"truth_conditions","diet",24,"dorbs",66,NA,1,70,"drink soda","True"
5,2992,"truth_conditions","habitat",25,"daiths",68,NA,1,70,"live in zoos","True"
5,42581,"explain_responses","behavior_aggressive",14,"mooks",27,"Because even a smaller percentage means that they may attack hikers.",1,30,"attack hikers",NA
5,17202,"explain_responses","diet",23,"feps",33,"33% is a good amount of Feps that feed on dead animals.",1,30,"feed on the carcasses of dead animals",NA
5,15535,"explain_responses","disease_self",15,"javs",35,"There is a good enough chance that Javs go bald.",1,30,"go bald",NA
6,4626,"truth_conditions","diet",1,"dunkels",30,NA,1,30,"drink soda","True"
6,2814,"truth_conditions","diet",2,"zorbs",71,NA,1,70,"eat grass","True"
6,3896,"truth_conditions","physical",3,"ollers",46,NA,1,50,"have brown fur","True"
6,3673,"truth_conditions","habitat",4,"stups",94,NA,1,90,"live in urban areas","True"
6,2728,"truth_conditions","behavior_aggressive",5,"cheebas",14,NA,0,10,"torture other animals","True"
6,2496,"truth_conditions","habitat",6,"ludinos",75,NA,1,70,"live in the hulls of sea vessels","True"
6,11954,"truth_conditions","psychological",7,"frams",91,NA,1,90,"are afraid of loud noises","True"
6,2127,"truth_conditions","psychological",8,"dobles",27,NA,0,30,"know when earthquakes are about to happen","True"
6,1024,"truth_conditions","behavior",9,"fendles",71,NA,1,70,"like to cuddle","True"
6,1545,"truth_conditions","behavior_aggressive",10,"sapers",32,NA,0,30,"steal farmers&quotechar crops","True"
6,1928,"truth_conditions","disease_self",11,"luzaks",87,NA,1,90,"get addicted to nicotine","True"
6,1065,"truth_conditions","diet",12,"javs",6,NA,0,10,"fish in the Hudson River","True"
6,1696,"truth_conditions","diet",13,"wugs",72,NA,1,70,"feed on the carcasses of dead animals","True"
6,1710,"truth_conditions","disease_self",14,"daiths",52,NA,1,50,"go bald","True"
6,1498,"truth_conditions","diet",15,"dorbs",6,NA,0,10,"eat human food","True"
6,1888,"truth_conditions","physical",16,"grinks",12,NA,0,10,"have very long wings","True"
6,1327,"truth_conditions","disease_self",17,"thups",51,NA,1,50,"develop back problems","True"
6,1640,"truth_conditions","behavior_aggressive",18,"reesles",87,NA,1,90,"attack hikers","True"
6,1696,"truth_conditions","psychological",19,"lorches",47,NA,1,50,"are intelligent","True"
6,1294,"truth_conditions","habitat",20,"kazzes",8,NA,0,10,"live in zoos","True"
6,4114,"truth_conditions","behavior",21,"krivels",34,NA,0,30,"sleep during the day","True"
6,2030,"truth_conditions","psychological",22,"kweps",66,NA,1,70,"mourn their dead","True"
6,1175,"truth_conditions","disease_self",23,"crullets",92,NA,1,90,"get dandruff","True"
6,1985,"truth_conditions","behavior",24,"zoovs",28,NA,0,30,"perform in the circus","True"
6,2111,"truth_conditions","disease_other",25,"glippets",49,NA,1,50,"carry malaria","True"
6,20685,"explain_responses","diet",1,"dunkels",30,"I think 30% is a pretty high rate for drinking soda. They are building a taste for it.",1,30,"drink soda",NA
7,11259,"truth_conditions","diet",1,"reesles",26,NA,1,30,"eat grass","False"
7,11004,"truth_conditions","diet",2,"lorches",13,NA,0,10,"fish in the Hudson River","False"
7,4012,"truth_conditions","physical",3,"dorbs",47,NA,1,50,"have brown fur","False"
7,3383,"truth_conditions","psychological",4,"ollers",30,NA,1,30,"mourn their dead","False"
7,5130,"truth_conditions","disease_other",5,"kazzes",91,NA,1,90,"carry malaria","False"
7,4680,"truth_conditions","psychological",6,"grinks",6,NA,0,10,"are afraid of loud noises","False"
7,5450,"truth_conditions","diet",7,"taifels",95,NA,1,90,"feed on the carcasses of dead animals","False"
7,3168,"truth_conditions","psychological",8,"krivels",53,NA,1,50,"know when earthquakes are about to happen","False"
7,2382,"truth_conditions","disease_self",9,"dunkels",30,NA,0,30,"go bald","False"
7,1635,"truth_conditions","disease_self",10,"ackles",70,NA,1,70,"develop back problems","False"
7,2226,"truth_conditions","behavior_aggressive",11,"ludinos",45,NA,1,50,"torture other animals","False"
7,5014,"truth_conditions","behavior_aggressive",12,"javs",73,NA,1,70,"attack hikers","False"
7,2357,"truth_conditions","behavior",13,"daiths",46,NA,1,50,"sleep during the day","False"
7,25849,"truth_conditions","psychological",14,"thups",51,NA,1,50,"are intelligent","False"
7,1548,"truth_conditions","diet",15,"morseths",89,NA,1,90,"eat human food","False"
7,1464,"truth_conditions","disease_self",16,"sapers",11,NA,0,10,"get dandruff","False"
7,1222,"truth_conditions","behavior",17,"luzaks",72,NA,1,70,"like to cuddle","False"
7,1416,"truth_conditions","habitat",18,"crullets",13,NA,0,10,"live in urban areas","False"
7,1199,"truth_conditions","diet",19,"cheebas",66,NA,1,70,"drink soda","False"
7,1836,"truth_conditions","physical",20,"stups",10,NA,0,10,"have very long wings","False"
7,1738,"truth_conditions","behavior",21,"zoovs",86,NA,1,90,"perform in the circus","False"
7,30633,"truth_conditions","behavior_aggressive",22,"kweps",69,NA,1,70,"steal farmers&quotechar crops","False"
7,2693,"truth_conditions","disease_self",23,"frams",88,NA,1,90,"get addicted to nicotine","False"
7,4992,"truth_conditions","habitat",24,"dobles",33,NA,1,30,"live in the hulls of sea vessels","False"
7,2138,"truth_conditions","habitat",25,"glippets",29,NA,1,30,"live in zoos","False"
7,26913,"explain_responses","psychological",4,"ollers",30,"Because it was said a percentage mourned.",1,30,"mourn their dead",NA
7,24377,"explain_responses","habitat",25,"glippets",29,"It was said a percentage live in zoos",1,30,"live in zoos",NA
7,9575,"explain_responses","habitat",24,"dobles",33,"It was said a percentage live there",1,30,"live in the hulls of sea vessels",NA
7,6282,"explain_responses","diet",1,"reesles",26,"It was said a percentage eat grass",1,30,"eat grass",NA
8,15034,"truth_conditions","behavior",1,"zorbs",50,NA,0,50,"like to cuddle","True"
8,10134,"truth_conditions","diet",2,"dunkels",69,NA,1,70,"feed on the carcasses of dead animals","True"
8,6044,"truth_conditions","diet",3,"javs",29,NA,0,30,"eat human food","True"
8,4857,"truth_conditions","behavior",4,"dorbs",94,NA,1,90,"sleep during the day","True"
8,5555,"truth_conditions","psychological",5,"ackles",54,NA,1,50,"are afraid of loud noises","True"
8,10438,"truth_conditions","disease_self",6,"taifels",48,NA,0,50,"go bald","True"
8,7337,"truth_conditions","habitat",7,"elleps",8,NA,0,10,"live in zoos","True"
8,4005,"truth_conditions","physical",8,"lorches",7,NA,0,10,"have brown fur","True"
8,4038,"truth_conditions","behavior_aggressive",9,"plovs",95,NA,1,90,"attack hikers","True"
8,5121,"truth_conditions","behavior",10,"crullets",69,NA,1,70,"perform in the circus","True"
8,6423,"truth_conditions","diet",11,"cheebas",51,NA,1,50,"fish in the Hudson River","True"
8,4807,"truth_conditions","habitat",12,"trufts",72,NA,1,70,"live in the hulls of sea vessels","True"
8,3621,"truth_conditions","disease_other",13,"reesles",72,NA,1,70,"carry malaria","True"
8,3215,"truth_conditions","behavior_aggressive",14,"kazzes",87,NA,1,90,"torture other animals","True"
8,2925,"truth_conditions","disease_self",15,"ludinos",89,NA,1,90,"develop back problems","True"
8,4289,"truth_conditions","disease_self",16,"stups",31,NA,0,30,"get addicted to nicotine","True"
8,3243,"truth_conditions","habitat",17,"thups",13,NA,0,10,"live in urban areas","True"
8,3096,"truth_conditions","disease_self",18,"zoovs",65,NA,1,70,"get dandruff","True"
8,12078,"truth_conditions","behavior_aggressive",19,"fendles",34,NA,1,30,"steal farmers&quotechar crops","True"
8,2970,"truth_conditions","physical",20,"wugs",55,NA,1,50,"have very long wings","True"
8,3232,"truth_conditions","diet",21,"luzaks",85,NA,1,90,"drink soda","True"
8,3574,"truth_conditions","psychological",22,"moxes",8,NA,0,10,"know when earthquakes are about to happen","True"
8,3265,"truth_conditions","psychological",23,"grinks",27,NA,0,30,"are intelligent","True"
8,6554,"truth_conditions","psychological",24,"frams",31,NA,0,30,"mourn their dead","True"
8,2895,"truth_conditions","diet",25,"ollers",7,NA,0,10,"eat grass","True"
8,54636,"explain_responses","behavior_aggressive",19,"fendles",34,"Normally the low percentage would make me say it isn&quotechart normal or common, but as farm fields are so huge I&quotechard say it&quotechars a significant statistic and something that might warrant intervention.",1,30,"steal farmers&quotechar crops",NA
9,12642,"truth_conditions","psychological",1,"stups",73,NA,1,70,"mourn their dead","False"
9,2304,"truth_conditions","disease_self",2,"frams",32,NA,0,30,"develop back problems","False"
9,1506,"truth_conditions","diet",3,"ackles",69,NA,1,70,"eat grass","False"
9,1598,"truth_conditions","diet",4,"kweps",49,NA,0,50,"drink soda","False"
9,1514,"truth_conditions","psychological",5,"sapers",92,NA,1,90,"are afraid of loud noises","False"
9,1786,"truth_conditions","behavior_aggressive",6,"dorbs",92,NA,1,90,"attack hikers","False"
9,1487,"truth_conditions","diet",7,"dobles",71,NA,1,70,"eat human food","False"
9,1847,"truth_conditions","habitat",8,"grinks",33,NA,0,30,"live in the hulls of sea vessels","False"
9,2117,"truth_conditions","psychological",9,"cheebas",53,NA,0,50,"are intelligent","False"
9,1451,"truth_conditions","disease_self",10,"ollers",71,NA,1,70,"go bald","False"
9,1572,"truth_conditions","disease_self",11,"javs",26,NA,0,30,"get dandruff","False"
9,1589,"truth_conditions","behavior",12,"wugs",53,NA,0,50,"perform in the circus","False"
9,1182,"truth_conditions","disease_self",13,"thups",27,NA,0,30,"get addicted to nicotine","False"
9,1306,"truth_conditions","behavior",14,"dunkels",6,NA,0,10,"sleep during the day","False"
9,1444,"truth_conditions","diet",15,"fendles",89,NA,1,90,"fish in the Hudson River","False"
9,2155,"truth_conditions","habitat",16,"kazzes",5,NA,0,10,"live in urban areas","False"
9,1526,"truth_conditions","behavior_aggressive",17,"blins",54,NA,0,50,"steal farmers&quotechar crops","False"
9,1731,"truth_conditions","psychological",18,"feps",86,NA,1,90,"know when earthquakes are about to happen","False"
9,1358,"truth_conditions","behavior",19,"zoovs",28,NA,0,30,"like to cuddle","False"
9,1185,"truth_conditions","diet",20,"taifels",13,NA,0,10,"feed on the carcasses of dead animals","False"
9,1213,"truth_conditions","physical",21,"daiths",86,NA,1,90,"have very long wings","False"
9,1718,"truth_conditions","physical",22,"morseths",50,NA,0,50,"have brown fur","False"
9,934,"truth_conditions","disease_other",23,"glippets",7,NA,0,10,"carry malaria","False"
9,1358,"truth_conditions","habitat",24,"krivels",74,NA,1,70,"live in zoos","False"
9,993,"truth_conditions","behavior_aggressive",25,"reesles",13,NA,0,10,"torture other animals","False"
10,14036,"truth_conditions","diet",1,"stups",85,NA,1,90,"eat grass","False"
10,3082,"truth_conditions","physical",2,"ollers",27,NA,0,30,"have brown fur","False"
10,2642,"truth_conditions","disease_self",3,"plovs",94,NA,1,90,"go bald","False"
10,4014,"truth_conditions","disease_other",4,"elleps",32,NA,1,30,"carry malaria","False"
10,4552,"truth_conditions","behavior_aggressive",5,"crullets",30,NA,1,30,"torture other animals","False"
10,2322,"truth_conditions","behavior",6,"sapers",70,NA,1,70,"sleep during the day","False"
10,3324,"truth_conditions","disease_self",7,"kazzes",9,NA,0,10,"get dandruff","False"
10,4832,"truth_conditions","diet",8,"blins",72,NA,1,70,"fish in the Hudson River","False"
10,4957,"truth_conditions","disease_self",9,"trufts",26,NA,1,30,"get addicted to nicotine","False"
10,2018,"truth_conditions","habitat",10,"grinks",6,NA,0,10,"live in urban areas","False"
10,2185,"truth_conditions","behavior_aggressive",11,"krivels",69,NA,1,70,"attack hikers","False"
10,2335,"truth_conditions","psychological",12,"feps",5,NA,0,10,"are afraid of loud noises","False"
10,3933,"truth_conditions","psychological",13,"zorbs",47,NA,1,50,"mourn their dead","False"
10,1882,"truth_conditions","behavior",14,"javs",51,NA,1,50,"like to cuddle","False"
10,2667,"truth_conditions","physical",15,"mooks",68,NA,1,70,"have very long wings","False"
10,6497,"truth_conditions","diet",16,"daiths",55,NA,1,50,"feed on the carcasses of dead animals","False"
10,2083,"truth_conditions","disease_self",17,"reesles",74,NA,1,70,"develop back problems","False"
10,1842,"truth_conditions","behavior",18,"wugs",6,NA,0,10,"perform in the circus","False"
10,3628,"truth_conditions","diet",19,"thups",33,NA,0,30,"drink soda","False"
10,1772,"truth_conditions","habitat",20,"lorches",92,NA,1,90,"live in zoos","False"
10,1963,"truth_conditions","behavior_aggressive",21,"dunkels",46,NA,1,50,"steal farmers&quotechar crops","False"
10,2241,"truth_conditions","psychological",22,"zoovs",94,NA,1,90,"are intelligent","False"
10,2028,"truth_conditions","habitat",23,"glippets",90,NA,1,90,"live in the hulls of sea vessels","False"
10,3108,"truth_conditions","psychological",24,"fendles",53,NA,1,50,"know when earthquakes are about to happen","False"
10,1690,"truth_conditions","diet",25,"ackles",12,NA,0,10,"eat human food","False"
10,22437,"explain_responses","disease_other",4,"elleps",32,"Its a serious disease, so even 32% would be enough to consider them all as potentially having it.",1,30,"carry malaria",NA
10,14165,"explain_responses","disease_self",9,"trufts",26,"There&quotechars a significant chance they will get addicted.",1,30,"get addicted to nicotine",NA
10,19646,"explain_responses","behavior_aggressive",5,"crullets",30,"It&quotechars a bizarre and cruel thing, and most animals don&quotechart do it.  So its safe to say something about crullets makes them more likely to torture.",1,30,"torture other animals",NA
11,13007,"truth_conditions","disease_self",1,"fendles",28,NA,1,30,"get addicted to nicotine","False"
