"workerid","rt","trial_type","property_type","trial_num","category","explanation","property","response"
1,3352,"implied_prevalence","behavior",30,"mooks","","swim in shallow pools",0.7
1,3667,"implied_prevalence","behavior",31,"pangolins","","use tools",0.36
1,3442,"implied_prevalence","disease_self",32,"stups","","lose their teeth",0.88
1,3820,"implied_prevalence","disease_other",33,"taifels","","carry Lyme disease",0.52
1,2843,"implied_prevalence","psychological",34,"javs","","are afraid of dogs",0.65
1,3702,"implied_prevalence","diet",35,"zoovs","","feed on the carcasses of dead animals",0.85
1,2780,"implied_prevalence","behavior",36,"zorbs","","sing beautiful songs",0.54
2,22110,"implied_prevalence","disease_other",1,"feps","not really... rabies aren&quotechart that common.","transmit rabies",0.15
2,5267,"implied_prevalence","psychological",2,"moxes","","experience empathy",0.28
2,8248,"implied_prevalence","reproduction",3,"pangolins","","have a menstrual cycle",0.67
2,11567,"implied_prevalence","disease_self",4,"trufts","seizures are rare","have seizures",0.08
2,14032,"implied_prevalence","psychological",5,"zoovs","animals are mostly dumbb
","are intelligent",0.19
2,3401,"implied_prevalence","physical",6,"reesles","","have brown fur",0.63
2,3494,"implied_prevalence","behavior",7,"wugs","","like to cuddle",0.35
2,2544,"implied_prevalence","psychological",8,"ollers","","have personalities",0.35
2,3431,"implied_prevalence","physical",9,"dorbs","","have an exquisite sense of smell",0.71
2,14698,"implied_prevalence","disease_other",10,"grinks","how many animals have aids?
","transmit HIV",0.19
2,3817,"implied_prevalence","disease_other",11,"dobles","","carry Lyme disease",0.33
2,4840,"implied_prevalence","behavior_aggressive",12,"dunkels","","pound their chests to display dominance",0.62
2,2487,"implied_prevalence","psychological",13,"daiths","","are afraid of dogs",0.61
2,13375,"implied_prevalence","diet",14,"glippets","animals don&quotechart eat weed
","eat cannabis",0.21
2,4201,"implied_prevalence","behavior_aggressive",15,"javs","","hunt other animals",0.85
2,3087,"implied_prevalence","physical",16,"cheebas","","live to be a hundred years old",0.37
2,6360,"implied_prevalence","reproduction",17,"sapers","","give birth underwater",0.37
2,8648,"implied_prevalence","disease_self",18,"krivels","animals don&quotechart go bald
","go bald",0.17
2,2416,"implied_prevalence","disease_other",19,"ackles","","carry malaria",0.65
2,2960,"implied_prevalence","diet",20,"morseths","","eat candy wrappers",0.57
2,2703,"implied_prevalence","physical",21,"plovs","","have very long wings",0.78
2,11547,"implied_prevalence","diet",22,"ludinos","animals don&quotechart drink","drink alcohol left behind by tourists",0.21
2,7278,"implied_prevalence","behavior",23,"stups","","sing beautiful songs",0.74
2,2104,"implied_prevalence","diet",24,"frams","","eat insects",0.83
2,11120,"implied_prevalence","habitat",25,"thups","not a lot of animals are in zoos","live in zoos",0.11
2,2616,"implied_prevalence","diet",26,"lorches","","feed on the carcasses of dead animals",0.65
2,2832,"implied_prevalence","reproduction",27,"elleps","","lay eggs in other birds&quotechar nests",0.84
2,2175,"implied_prevalence","psychological",28,"taifels","","are afraid of loud noises",0.43
2,12007,"implied_prevalence","diet",29,"blins","not a lot of animals are cannibals
","cannibalize each other",0.19
2,9695,"implied_prevalence","physical",30,"kazzes","nohting lives that long
","live to be five hundred years old",0.06
2,13363,"implied_prevalence","reproduction",31,"mooks","it has to be fertilized to grow
","lay eggs without needing fertilization",0.12
2,2729,"implied_prevalence","behavior",32,"kweps","","swim in shallow pools",0.34
2,54850,"implied_prevalence","psychological",33,"zorbs","animals cant ride bikes","know how to ride bicycles",0.09
2,3095,"implied_prevalence","behavior_aggressive",34,"luzaks","","capture other animals&quotechar territory",0.73
2,1648,"implied_prevalence","diet",35,"fendles","","eat grass",0.64
2,11656,"implied_prevalence","behavior",36,"crullets","animals dont ride subways..
","ride the subway",0.21
3,6170,"implied_prevalence","diet",1,"dobles","","eat human food",1
3,3023,"implied_prevalence","diet",2,"frams","","eat grass",1
3,4270,"implied_prevalence","behavior_aggressive",3,"dunkels","","torture other animals",0.89
3,4525,"implied_prevalence","habitat",4,"wugs","","live in the hulls of sea vessels",1
3,3772,"implied_prevalence","psychological",5,"trufts","","are afraid of dogs",0.9
3,4046,"implied_prevalence","habitat",6,"thups","","live in high-rise buildings",0.86
3,6133,"implied_prevalence","physical",7,"taifels","","live to be twenty years old",0.86
3,3521,"implied_prevalence","diet",8,"krivels","","drink soda",0.93
3,2979,"implied_prevalence","disease_other",9,"fendles","","carry Lyme disease",0.37
3,3498,"implied_prevalence","reproduction",10,"kazzes","","lay eggs without needing fertilization",0.79
3,7279,"implied_prevalence","reproduction",11,"ollers","","have a menstrual cycle",0.57
3,4757,"implied_prevalence","behavior",12,"daiths","","do handstands to scare off predators",1
3,4148,"implied_prevalence","physical",13,"plovs","","have very long wings",0.94
3,3397,"implied_prevalence","psychological",14,"stups","","know when earthquakes are about to happen",1
3,3240,"implied_prevalence","disease_self",15,"blins","","get dandruff",0.62
3,2609,"implied_prevalence","behavior_aggressive",16,"glippets","","steal farmers&quotechar crops",0.84
3,3234,"implied_prevalence","disease_self",17,"lorches","","are addicted to nicotine",0.81
3,3530,"implied_prevalence","behavior",18,"crullets","","sleep during the day",1
3,2718,"implied_prevalence","habitat",19,"moxes","","live in urban areas",0.75
3,2812,"implied_prevalence","psychological",20,"luzaks","","mourn their dead",0.97
3,3244,"implied_prevalence","diet",21,"feps","","eat garbage",0.94
3,2934,"implied_prevalence","psychological",22,"ludinos","","are afraid of loud noises",0.88
3,3493,"implied_prevalence","physical",23,"grinks","","live to be a hundred years old",0.76
3,2626,"implied_prevalence","psychological",24,"sapers","","are intelligent",0.86
3,2341,"implied_prevalence","behavior",25,"reesles","","sing beautiful songs",0.78
3,2330,"implied_prevalence","disease_self",26,"ackles","","go bald",0.71
3,3788,"implied_prevalence","habitat",27,"dorbs","","live in trees",1
3,3921,"implied_prevalence","behavior_aggressive",28,"zoovs","","pound their chests to display dominance",0.89
3,2961,"implied_prevalence","psychological",29,"cheebas","","experience empathy",0.92
3,3179,"implied_prevalence","disease_self",30,"zorbs","","get cancer",0.28
3,3070,"implied_prevalence","behavior",31,"pangolins","","ride the subway",0.79
3,2766,"implied_prevalence","physical",32,"javs","","have intensely beautiful feathers",0.89
3,2341,"implied_prevalence","habitat",33,"morseths","","live in zoos",0.45
3,2798,"implied_prevalence","psychological",34,"kweps","","know how to ride bicycles",0.85
3,7098,"implied_prevalence","physical",35,"mooks","","live to be five hundred years old",0.74
3,3456,"implied_prevalence","diet",36,"elleps","","eat candy wrappers",0.8
4,1436,"implied_prevalence","psychological",1,"kazzes","","know how to ride bicycles",0.74
4,1065,"implied_prevalence","physical",2,"krivels","","have spots",0.53
4,931,"implied_prevalence","disease_self",3,"pangolins","","are addicted to nicotine",0.28
4,763,"implied_prevalence","disease_self",4,"sapers","","have strange genetic mutations",0.71
4,665,"implied_prevalence","physical",5,"ollers","","live to be twenty years old",0.6
4,782,"implied_prevalence","behavior_aggressive",6,"plovs","","carry out premeditated murder",0.79
4,1213,"implied_prevalence","psychological",7,"dobles","","are afraid of loud noises",0.5
4,821,"implied_prevalence","psychological",8,"blins","","have personalities",0.75
4,5175,"implied_prevalence","disease_other",9,"morseths","","carry Lyme disease",0.29
4,717,"implied_prevalence","behavior",10,"ludinos","","use tools",0.52
4,726,"implied_prevalence","diet",11,"dorbs","","cannibalize each other",0.69
4,816,"implied_prevalence","physical",12,"fendles","","have intensely beautiful feathers",0.79
4,1001,"implied_prevalence","diet",13,"feps","","eat cannabis",0.52
4,1067,"implied_prevalence","psychological",14,"glippets","","know when earthquakes are about to happen",0.26
4,912,"implied_prevalence","behavior",15,"taifels","","sing beautiful songs",0.8
4,974,"implied_prevalence","physical",16,"kweps","","have very long wings",0.56
4,942,"implied_prevalence","disease_self",17,"luzaks","","go bald",0.5
4,851,"implied_prevalence","reproduction",18,"wugs","","have a menstrual cycle",0.8
4,820,"implied_prevalence","psychological",19,"elleps","","mourn their dead",0.36
4,873,"implied_prevalence","physical",20,"grinks","","have brown fur",0.72
4,10234,"implied_prevalence","habitat",21,"javs","based on my initial thought ","live in high-rise buildings",0.67
4,968,"implied_prevalence","disease_other",22,"stups","","transmit HIV",0.68
4,872,"implied_prevalence","diet",23,"zoovs","","feed on the carcasses of dead animals",0.76
4,11432,"implied_prevalence","behavior_aggressive",24,"ackles","","capture other animals&quotechar territory",0.37
4,1118,"implied_prevalence","behavior",25,"daiths","","swim in shallow pools",0.57
4,760,"implied_prevalence","disease_self",26,"trufts","","get dandruff",0.74
4,716,"implied_prevalence","diet",27,"zorbs","","eat garbage",0.58
4,742,"implied_prevalence","behavior_aggressive",28,"cheebas","","pound their chests to display dominance",0.34
4,681,"implied_prevalence","disease_self",29,"lorches","","get cancer",0.7
4,737,"implied_prevalence","diet",30,"mooks","","eat human food",0.82
4,682,"implied_prevalence","psychological",31,"reesles","","experience emotions",0.65
4,586,"implied_prevalence","diet",32,"thups","","eat grass",0.53
4,590,"implied_prevalence","behavior",33,"frams","","chase their tails",0.36
4,604,"implied_prevalence","habitat",34,"crullets","","live in zoos",0.54
4,579,"implied_prevalence","reproduction",35,"moxes","","lay eggs in other birds&quotechar nests",0.75
4,579,"implied_prevalence","physical",36,"dunkels","","live to be five hundred years old",0.79
5,11585,"implied_prevalence","habitat",1,"krivels","","live in zoos",0.86
5,6400,"implied_prevalence","diet",2,"lorches","","eat garbage",0.95
5,3812,"implied_prevalence","psychological",3,"dobles","","have personalities",0.98
5,3986,"implied_prevalence","habitat",4,"feps","","live in trees",0.98
5,7966,"implied_prevalence","behavior",5,"grinks","","do handstands to scare off predators",0.93
5,5257,"implied_prevalence","habitat",6,"stups","","live in high-rise buildings",0.85
5,5441,"implied_prevalence","reproduction",7,"glippets","","lay eggs without needing fertilization",1
5,5117,"implied_prevalence","psychological",8,"ludinos","","are afraid of loud noises",0.96
5,5402,"implied_prevalence","reproduction",9,"luzaks","","have dozens of sexual partners",0.99
5,3401,"implied_prevalence","diet",10,"elleps","","eat grass",0.99
5,13581,"implied_prevalence","diet",11,"trufts","","eat human food",0.88
5,6539,"implied_prevalence","behavior",12,"sapers","","swim in shallow pools",0.84
5,5136,"implied_prevalence","reproduction",13,"zorbs","","lay eggs in other birds&quotechar nests",0.79
5,7156,"implied_prevalence","behavior_aggressive",14,"plovs","","get in fights with other animals",0.53
5,4892,"implied_prevalence","psychological",15,"kweps","","develop phobias",0.46
5,5443,"implied_prevalence","behavior",16,"blins","","fly into building windows",0.36
5,44573,"implied_prevalence","behavior_aggressive",17,"crullets","they only do it when scared","attack hikers",0.19
5,13418,"implied_prevalence","psychological",18,"ollers","","experience empathy",0.96
5,9520,"implied_prevalence","disease_self",19,"morseths","","go bald",0.54
5,4477,"implied_prevalence","behavior",20,"kazzes","","sing beautiful songs",0.95
5,8790,"implied_prevalence","disease_other",21,"pangolins","","carry Lyme disease",0.51
5,4566,"implied_prevalence","psychological",22,"thups","","experience emotions",0.98
5,5367,"implied_prevalence","behavior",23,"reesles","","like to cuddle",0.98
5,5158,"implied_prevalence","physical",24,"mooks","","have brown fur",0.99
5,38427,"implied_prevalence","disease_other",25,"fendles","it&quotechars unlikely all Fendles have rabies","transmit rabies",0.25
5,6981,"implied_prevalence","behavior",26,"cheebas","","chase their tails",0.94
5,6583,"implied_prevalence","reproduction",27,"javs","","give birth underwater",0.94
5,6517,"implied_prevalence","behavior_aggressive",28,"dorbs","","pound their chests to display dominance",0.96
5,4331,"implied_prevalence","physical",29,"zoovs","","have spots",0.96
5,6407,"implied_prevalence","behavior_aggressive",30,"moxes","","hunt other animals",1
5,7857,"implied_prevalence","behavior_aggressive",31,"ackles","","torture other animals",0.63
5,4318,"implied_prevalence","physical",32,"daiths","","have intensely beautiful feathers",0.99
5,96581,"implied_prevalence","disease_other",33,"frams","it&quotechars unlikely thay have HIV in substantial numbers","transmit HIV",0.05
5,4765,"implied_prevalence","reproduction",34,"taifels","","attract mates by secreting pheromones",0.99
5,4601,"implied_prevalence","physical",35,"dunkels","","have very long wings",0.97
5,35897,"implied_prevalence","disease_self",36,"wugs","they have no access","are addicted to nicotine",0.01
6,39248,"implied_prevalence","psychological",1,"zoovs","Most animals don&quotechart know how to ride a bicycle.","know how to ride bicycles",0
6,20622,"implied_prevalence","physical",2,"mooks","","live to be twenty years old",0.8
6,8922,"implied_prevalence","behavior_aggressive",3,"elleps","","hunt other animals",1
6,32277,"implied_prevalence","behavior_aggressive",4,"moxes","","carry out premeditated murder",1
6,9903,"implied_prevalence","behavior_aggressive",5,"trufts","","attack hikers",0.8
6,5667,"implied_prevalence","diet",6,"cheebas","","eat grass",1
6,3841,"implied_prevalence","reproduction",7,"crullets","","give birth underwater",1
6,9616,"implied_prevalence","behavior_aggressive",8,"pangolins","","steal farmers&quotechar crops",0.8
6,17293,"implied_prevalence","habitat",9,"javs","","live in the hulls of sea vessels",0.65
6,14985,"implied_prevalence","diet",10,"kweps","","eat candy wrappers",0.7
6,11424,"implied_prevalence","habitat",11,"feps","","live in high-rise buildings",0.6
6,12955,"implied_prevalence","diet",12,"glippets","","drink alcohol left behind by tourists",0.6
6,3949,"implied_prevalence","physical",13,"ackles","","have spots",1
6,5382,"implied_prevalence","reproduction",14,"fendles","","lay eggs in other birds&quotechar nests",1
6,15600,"implied_prevalence","diet",15,"reesles","","drink soda",0.6
6,12576,"implied_prevalence","psychological",16,"stups","","develop phobias",0.9
6,19246,"implied_prevalence","disease_other",17,"plovs","","transmit rabies",0.9
6,5805,"implied_prevalence","psychological",18,"ollers","","are intelligent",1
6,158656,"implied_prevalence","behavior",19,"taifels","Most species of animals that perform in the circus live elsewhere.","perform in the circus",0.2
6,7291,"implied_prevalence","behavior_aggressive",20,"blins","","torture other animals",1
6,3922,"implied_prevalence","physical",21,"kazzes","","have very long wings",1
6,8238,"implied_prevalence","habitat",22,"dorbs","","live in urban areas",1
6,8712,"implied_prevalence","disease_self",23,"zorbs","","lose their teeth",1
6,4276,"implied_prevalence","disease_self",24,"sapers","","go bald",1
6,6282,"implied_prevalence","behavior_aggressive",25,"wugs","","capture other animals&quotechar territory",1
6,3717,"implied_prevalence","psychological",26,"lorches","","are afraid of loud noises",1
6,3450,"implied_prevalence","behavior",27,"thups","","sleep during the day",1
6,7406,"implied_prevalence","behavior",28,"frams","","chase their tails",0.95
6,4716,"implied_prevalence","diet",29,"dobles","","eat people",1
6,3525,"implied_prevalence","diet",30,"grinks","","cannibalize each other",1
6,3792,"implied_prevalence","behavior_aggressive",31,"daiths","","get in fights with other animals",1
6,5331,"implied_prevalence","reproduction",32,"krivels","","have a menstrual cycle",1
6,10764,"implied_prevalence","physical",33,"luzaks","","live to be five hundred years old",0.9
6,4743,"implied_prevalence","disease_other",34,"morseths","","transmit HIV",0.9
6,4664,"implied_prevalence","psychological",35,"dunkels","","experience empathy",1
6,7399,"implied_prevalence","disease_self",36,"ludinos","","have seizures",0.95
7,8638,"implied_prevalence","habitat",1,"luzaks","","live in trees",1
7,53840,"implied_prevalence","habitat",2,"morseths","Because zoos are a confined area that aren&quotechart a natural habitat so I&quotechard think only a select few actually live in zoos relative to their entire population","live in zoos",0.05
7,15214,"implied_prevalence","behavior",3,"dorbs","","swim in shallow pools",0.4
7,7062,"implied_prevalence","physical",4,"blins","","have brown fur",0.9
7,10704,"implied_prevalence","behavior_aggressive",5,"frams","","torture other animals",0.85
7,8623,"implied_prevalence","habitat",6,"cheebas","","live in urban areas",0.75
7,6047,"implied_prevalence","disease_self",7,"feps","","develop back problems",0.85
7,11143,"implied_prevalence","physical",8,"fendles","","live to be five hundred years old",0.65
7,7703,"implied_prevalence","psychological",9,"moxes","","mourn their dead",0.9
7,8166,"implied_prevalence","disease_self",10,"kweps","","are addicted to nicotine",0.95
7,14296,"implied_prevalence","reproduction",11,"glippets","","have a menstrual cycle",0.6
7,11669,"implied_prevalence","reproduction",12,"plovs","","give birth underwater",0.79
7,8687,"implied_prevalence","behavior_aggressive",13,"ollers","","capture other animals&quotechar territory",0.85
7,5240,"implied_prevalence","diet",14,"kazzes","","eat insects",1
7,5328,"implied_prevalence","behavior",15,"krivels","","use tools",0.93
7,3992,"implied_prevalence","psychological",16,"trufts","","have personalities",1
7,6223,"implied_prevalence","physical",17,"zorbs","","have intensely beautiful feathers",0.97
7,7144,"implied_prevalence","habitat",18,"pangolins","","live in the hulls of sea vessels",0.8
7,7112,"implied_prevalence","psychological",19,"zoovs","","are intelligent",0.93
7,4471,"implied_prevalence","disease_self",20,"stups","","go bald",0.88
7,6295,"implied_prevalence","physical",21,"javs","","have spots",1
7,6859,"implied_prevalence","behavior_aggressive",22,"elleps","","steal farmers&quotechar crops",0.84
7,9119,"implied_prevalence","physical",23,"sapers","","live to be a hundred years old",0.75
7,12160,"implied_prevalence","behavior",24,"lorches","","fly into building windows",0.35
7,8775,"implied_prevalence","reproduction",25,"thups","","have dozens of sexual partners",0.65
7,8175,"implied_prevalence","behavior",26,"crullets","","ride the subway",0.75
7,7512,"implied_prevalence","diet",27,"taifels","","drink alcohol left behind by tourists",0.71
7,5760,"implied_prevalence","behavior",28,"dunkels","","perform in the circus",0.3
7,43551,"implied_prevalence","disease_self",29,"mooks","Because just because they get cancer doesn&quotechart mean they can&quotechart get other diseases first that will result in their demise","get cancer",0.15
7,6672,"implied_prevalence","physical",30,"ludinos","","have very long wings",0.95
7,5336,"implied_prevalence","diet",31,"grinks","","eat garbage",0.81
7,5671,"implied_prevalence","behavior",32,"ackles","","sing beautiful songs",0.85
7,7372,"implied_prevalence","behavior",33,"daiths","","do handstands to scare off predators",0.84
7,7873,"implied_prevalence","disease_other",34,"wugs","","carry malaria",0.7
7,6054,"implied_prevalence","behavior",35,"reesles","","play with bottlecaps",0.75
7,5432,"implied_prevalence","diet",36,"dobles","","eat human food",1
8,7913,"implied_prevalence","psychological",1,"elleps","","develop phobias",0.86
8,5008,"implied_prevalence","disease_other",2,"luzaks","","carry malaria",0.5
8,17191,"implied_prevalence","disease_other",3,"pangolins","I just went with my gut feeling. No real reason.","transmit rabies",0.19
8,6134,"implied_prevalence","diet",4,"krivels","","drink alcohol left behind by tourists",0.35
8,13059,"implied_prevalence","diet",5,"ackles","Gut feeling. Probably not that much soda laying around.","drink soda",0.15
8,3218,"implied_prevalence","diet",6,"javs","","eat insects",0.86
8,15593,"implied_prevalence","physical",7,"zorbs","","have an exquisite sense of smell",0.88
8,4119,"implied_prevalence","psychological",8,"reesles","","experience empathy",0.78
8,3661,"implied_prevalence","physical",9,"frams","","have intensely beautiful feathers",0.86
8,4256,"implied_prevalence","behavior",10,"ollers","","ride the subway",0.32
8,4890,"implied_prevalence","diet",11,"dorbs","","eat human food",0.92
8,4108,"implied_prevalence","reproduction",12,"mooks","","have dozens of sexual partners",0.81
8,2803,"implied_prevalence","behavior",13,"fendles","","swim in shallow pools",0.9
8,2880,"implied_prevalence","disease_self",14,"morseths","","are addicted to nicotine",0.94
8,3998,"implied_prevalence","disease_self",15,"daiths","","develop back problems",0.51
8,20858,"implied_prevalence","diet",16,"moxes","Well, if a lot of them did it, there wouldn&quotechart be many/any left.","cannibalize each other",0.22
8,3986,"implied_prevalence","behavior_aggressive",17,"sapers","","torture other animals",0.58
8,3006,"implied_prevalence","behavior_aggressive",18,"thups","","attack hikers",0.81
8,5142,"implied_prevalence","psychological",19,"grinks","","are afraid of dogs",0.84
8,6249,"implied_prevalence","psychological",20,"kazzes","","know how to ride bicycles",0.26
8,3286,"implied_prevalence","diet",21,"plovs","","eat candy wrappers",0.63
8,2477,"implied_prevalence","psychological",22,"dunkels","","are afraid of loud noises",0.89
8,3016,"implied_prevalence","diet",23,"stups","","eat grass",0.98
8,2236,"implied_prevalence","disease_self",24,"taifels","","get cancer",0.65
8,14293,"implied_prevalence","behavior",25,"zoovs","Probably not that many circuses around.","perform in the circus",0.09
8,3040,"implied_prevalence","disease_self",26,"cheebas","","lose their teeth",0.91
8,16571,"implied_prevalence","behavior_aggressive",27,"kweps","I&quotecharm guessing not that many murders are happening.","carry out premeditated murder",0.04
8,3173,"implied_prevalence","disease_self",28,"glippets","","have strange genetic mutations",0.61
8,2184,"implied_prevalence","behavior_aggressive",29,"wugs","","get in fights with other animals",0.73
8,2434,"implied_prevalence","habitat",30,"dobles","","live in high-rise buildings",0.37
8,2999,"implied_prevalence","reproduction",31,"feps","","have a menstrual cycle",0.5
8,11858,"implied_prevalence","habitat",32,"trufts","NOt very many of an animal live in a zoo.","live in zoos",0.1
8,3133,"implied_prevalence","physical",33,"lorches","","live to be five hundred years old",0.75
8,2705,"implied_prevalence","diet",34,"ludinos","","feed on the carcasses of dead animals",0.95
8,3010,"implied_prevalence","physical",35,"crullets","","have spots",0.88
8,2259,"implied_prevalence","disease_self",36,"blins","","get dandruff",0.88
9,8688,"implied_prevalence","diet",1,"thups","","eat garbage",0.98
9,4632,"implied_prevalence","physical",2,"mooks","","have brown fur",0.97
9,3936,"implied_prevalence","disease_self",3,"wugs","","have seizures",0.54
9,5168,"implied_prevalence","diet",4,"frams","","eat cannabis",0.45
9,4759,"implied_prevalence","behavior_aggressive",5,"dorbs","","pound their chests to display dominance",0.51
9,4919,"implied_prevalence","diet",6,"ollers","","eat insects",1
9,4048,"implied_prevalence","reproduction",7,"morseths","","have dozens of sexual partners",0.73
9,2928,"implied_prevalence","behavior",8,"moxes","","play with bottlecaps",0.42
9,5432,"implied_prevalence","reproduction",9,"taifels","","get erections",0.5
9,3704,"implied_prevalence","disease_self",10,"krivels","","develop back problems",0.68
9,8432,"implied_prevalence","habitat",11,"javs","","live in urban areas",0.99
9,3200,"implied_prevalence","physical",12,"zorbs","","live to be a hundred years old",0.79
9,3384,"implied_prevalence","psychological",13,"plovs","","are intelligent",1
9,3519,"implied_prevalence","reproduction",14,"kweps","","lay eggs without needing fertilization",0.85
9,3417,"implied_prevalence","disease_other",15,"dobles","","transmit rabies",0.37
9,3367,"implied_prevalence","disease_self",16,"dunkels","","go bald",0.49
9,2808,"implied_prevalence","disease_other",17,"feps","","carry Lyme disease",0.67
9,4975,"implied_prevalence","diet",18,"trufts","","drink soda",0.42
9,4255,"implied_prevalence","disease_self",19,"ludinos","","are addicted to nicotine",0.63
9,4055,"implied_prevalence","physical",20,"blins","","live to be five hundred years old",0.77
9,4625,"implied_prevalence","psychological",21,"reesles","","experience empathy",1
9,8831,"implied_prevalence","diet",22,"stups","","eat human food",1
9,5209,"implied_prevalence","physical",23,"luzaks","","have intensely beautiful feathers",0.8
9,4295,"implied_prevalence","behavior",24,"zoovs","","do handstands to scare off predators",1
9,6176,"implied_prevalence","behavior",25,"grinks","","fly into building windows",0.42
9,3360,"implied_prevalence","behavior",26,"fendles","","perform in the circus",0.93
