"workerid","rt","trial_type","property_type","trial_num","category","property","response"
2,2320,"implied_prevalence","reproduction",34,"stups","lay eggs in other birds&quotechar nests",1
2,6968,"implied_prevalence","disease",35,"luzaks","carry malaria",0.2
2,4001,"implied_prevalence","disease",36,"reesles","are addicted to nicotine",0.8
3,8364,"implied_prevalence","behavior",1,"javs","use tools",0.5
3,11216,"implied_prevalence","physical",2,"lorches","have brown fur",0.99
3,7518,"implied_prevalence","habitat",3,"moxes","live in urban areas",0.98
3,12889,"implied_prevalence","behavior",4,"pangolins","do handstands to scare off predators",0.94
3,6320,"implied_prevalence","diet",5,"taifels","eat people",0.96
3,13799,"implied_prevalence","disease",6,"dorbs","are addicted to nicotine",0.92
3,5769,"implied_prevalence","behavior",7,"ackles","fly into buildings",0.81
3,4832,"implied_prevalence","psychological",8,"glippets","are intelligent",0.98
3,24561,"implied_prevalence","diet",9,"thups","eat insects",0.99
3,5751,"implied_prevalence","psychological",10,"trufts","experience emotions",1
3,3554,"implied_prevalence","diet",11,"reesles","eat meat",0.99
3,5088,"implied_prevalence","psychological",12,"sapers","experience empathy",0.99
3,7190,"implied_prevalence","reproduction",13,"kazzes","lay eggs in other birds&quotechar nests",0.87
3,4178,"implied_prevalence","physical",14,"plovs","have white fur",0.97
3,5024,"implied_prevalence","physical",15,"dobles","have an excellent sense of smell",0.98
3,4943,"implied_prevalence","psychological",16,"feps","mourn their dead",0.99
3,13592,"implied_prevalence","disease",17,"cheebas","carry Lyme disease",0.21
3,5023,"implied_prevalence","psychological",18,"frams","are afraid of loud noises",0.96
3,5351,"implied_prevalence","habitat",19,"mooks","live in trees",0.99
3,6345,"implied_prevalence","disease",20,"blins","have seizures",0.53
3,5286,"implied_prevalence","physical",21,"dunkels","have beautiful feathers",0.95
3,6782,"implied_prevalence","habitat",22,"morseths","live in zoos",0.48
3,6849,"implied_prevalence","diet",23,"stups","eat garbage",0.88
3,4591,"implied_prevalence","behavior",24,"kweps","hunt other animals",0.98
3,4992,"implied_prevalence","reproduction",25,"wugs","give birth underwater",0.95
3,5809,"implied_prevalence","psychological",26,"fendles","know when earthquakes are about to happen",0.93
3,5822,"implied_prevalence","behavior",27,"crullets","torture other animals",0.42
3,6185,"implied_prevalence","reproduction",28,"zorbs","lay eggs without needing fertilization",1
3,6017,"implied_prevalence","psychological",29,"daiths","are afraid of dogs",0.84
3,4327,"implied_prevalence","diet",30,"krivels","eat grass",0.97
3,4608,"implied_prevalence","behavior",31,"luzaks","sleep during the day",0.99
3,4681,"implied_prevalence","behavior",32,"zoovs","sing beautiful songs",0.84
3,4880,"implied_prevalence","physical",33,"ludinos","have spots",0.96
3,4320,"implied_prevalence","behavior",34,"grinks","swim in shallow pools",0.91
3,3975,"implied_prevalence","psychological",35,"elleps","have personalities",1
3,5329,"implied_prevalence","disease",36,"ollers","carry malaria",0.2
4,7816,"implied_prevalence","psychological",1,"wugs","are afraid of loud noises",0.79
4,3966,"implied_prevalence","behavior",2,"frams","use tools",0.81
4,4504,"implied_prevalence","psychological",3,"dobles","have personalities",0.82
4,3807,"implied_prevalence","behavior",4,"stups","swim in shallow pools",0.85
4,2561,"implied_prevalence","psychological",5,"daiths","experience emotions",0.9
4,2326,"implied_prevalence","behavior",6,"fendles","sing beautiful songs",0.9
4,1793,"implied_prevalence","behavior",7,"taifels","fly into buildings",0.88
4,1824,"implied_prevalence","disease",8,"feps","carry Lyme disease",0.9
4,2878,"implied_prevalence","behavior",9,"thups","do handstands to scare off predators",0.94
4,2111,"implied_prevalence","diet",10,"luzaks","eat meat",0.93
4,1873,"implied_prevalence","psychological",11,"ludinos","mourn their dead",0.95
4,1592,"implied_prevalence","habitat",12,"mooks","live in zoos",0.91
4,1343,"implied_prevalence","psychological",13,"zoovs","are afraid of dogs",0.92
4,1304,"implied_prevalence","psychological",14,"trufts","know when earthquakes are about to happen",0.94
4,1246,"implied_prevalence","disease",15,"moxes","carry malaria",0.94
4,1192,"implied_prevalence","psychological",16,"plovs","are intelligent",0.88
4,1391,"implied_prevalence","physical",17,"glippets","have brown fur",0.93
4,2329,"implied_prevalence","physical",18,"dunkels","have beautiful feathers",0.94
4,2176,"implied_prevalence","physical",19,"morseths","have white fur",0.87
4,2984,"implied_prevalence","behavior",20,"kazzes","hunt other animals",0.95
4,1935,"implied_prevalence","diet",21,"pangolins","eat garbage",0.95
4,1904,"implied_prevalence","psychological",22,"lorches","experience empathy",0.96
4,2001,"implied_prevalence","diet",23,"grinks","eat people",0.96
4,2184,"implied_prevalence","behavior",24,"crullets","torture other animals",0.96
4,1991,"implied_prevalence","diet",25,"javs","eat insects",0.96
4,2079,"implied_prevalence","disease",26,"elleps","are addicted to nicotine",0.94
4,1568,"implied_prevalence","physical",27,"sapers","have spots",0.99
4,1898,"implied_prevalence","reproduction",28,"krivels","lay eggs without needing fertilization",0.96
4,3941,"implied_prevalence","behavior",29,"reesles","sleep during the day",0.96
4,1496,"implied_prevalence","habitat",30,"ollers","live in trees",0.96
4,1583,"implied_prevalence","diet",31,"kweps","eat grass",0.94
4,1560,"implied_prevalence","disease",32,"zorbs","have seizures",0.97
4,1639,"implied_prevalence","physical",33,"ackles","have an excellent sense of smell",0.98
4,1424,"implied_prevalence","reproduction",34,"blins","lay eggs in other birds&quotechar nests",0.96
4,1289,"implied_prevalence","reproduction",35,"cheebas","give birth underwater",0.96
4,1399,"implied_prevalence","habitat",36,"dorbs","live in urban areas",0.95
5,9172,"implied_prevalence","disease",1,"daiths","carry malaria",0.09
5,9600,"implied_prevalence","diet",2,"kazzes","eat meat",0.41
5,9220,"implied_prevalence","disease",3,"javs","carry Lyme disease",0.21
5,13623,"implied_prevalence","reproduction",4,"moxes","lay eggs without needing fertilization",0.12
5,4999,"implied_prevalence","psychological",5,"reesles","are afraid of dogs",0.96
5,5670,"implied_prevalence","diet",6,"zorbs","eat garbage",0.81
5,5469,"implied_prevalence","behavior",7,"pangolins","use tools",0.01
5,7510,"implied_prevalence","habitat",8,"elleps","live in zoos",0.03
5,6779,"implied_prevalence","physical",9,"fendles","have an excellent sense of smell",0.99
5,5654,"implied_prevalence","reproduction",10,"kweps","give birth underwater",0.99
5,4994,"implied_prevalence","diet",11,"wugs","eat people",0
5,5543,"implied_prevalence","habitat",12,"ackles","live in trees",0.87
5,5509,"implied_prevalence","physical",13,"feps","have white fur",1
5,11560,"implied_prevalence","habitat",14,"frams","live in urban areas",0
5,6657,"implied_prevalence","reproduction",15,"dorbs","lay eggs in other birds&quotechar nests",0.03
5,4422,"implied_prevalence","diet",16,"lorches","eat insects",1
5,5646,"implied_prevalence","behavior",17,"dunkels","hunt other animals",0.02
5,5398,"implied_prevalence","psychological",18,"trufts","experience empathy",0.29
5,5624,"implied_prevalence","physical",19,"morseths","have spots",0.91
5,7050,"implied_prevalence","behavior",20,"ludinos","fly into buildings",0
5,4926,"implied_prevalence","psychological",21,"crullets","are intelligent",0
5,7250,"implied_prevalence","psychological",22,"sapers","mourn their dead",0.55
5,5802,"implied_prevalence","disease",23,"cheebas","are addicted to nicotine",0
5,5501,"implied_prevalence","psychological",24,"krivels","are afraid of loud noises",1
5,13921,"implied_prevalence","behavior",25,"blins","torture other animals",0.01
5,4415,"implied_prevalence","diet",26,"taifels","eat grass",0.95
5,7789,"implied_prevalence","behavior",27,"dobles","do handstands to scare off predators",0.85
5,5809,"implied_prevalence","psychological",28,"ollers","experience emotions",0.89
5,5198,"implied_prevalence","psychological",29,"glippets","have personalities",0.72
5,5315,"implied_prevalence","behavior",30,"plovs","swim in shallow pools",0.86
5,4682,"implied_prevalence","psychological",31,"stups","know when earthquakes are about to happen",0.95
5,3947,"implied_prevalence","disease",32,"grinks","have seizures",0.03
5,4700,"implied_prevalence","physical",33,"luzaks","have brown fur",0.9
5,5702,"implied_prevalence","behavior",34,"mooks","sing beautiful songs",0.31
5,4262,"implied_prevalence","behavior",35,"zoovs","sleep during the day",0.12
5,4064,"implied_prevalence","physical",36,"thups","have beautiful feathers",0.72
6,4102,"implied_prevalence","habitat",1,"lorches","live in zoos",0.32
6,4673,"implied_prevalence","reproduction",2,"fendles","give birth underwater",0.41
6,3338,"implied_prevalence","psychological",3,"frams","mourn their dead",0.68
6,2416,"implied_prevalence","diet",4,"krivels","eat grass",0.59
6,7109,"implied_prevalence","psychological",5,"ollers","know when earthquakes are about to happen",0.91
6,3650,"implied_prevalence","diet",6,"elleps","eat people",1
6,4128,"implied_prevalence","psychological",7,"zorbs","experience empathy",1
6,4522,"implied_prevalence","behavior",8,"dobles","do handstands to scare off predators",1
6,5152,"implied_prevalence","physical",9,"wugs","have beautiful feathers",1
6,3652,"implied_prevalence","behavior",10,"mooks","sleep during the day",1
6,2418,"implied_prevalence","behavior",11,"feps","fly into buildings",0.7
6,2757,"implied_prevalence","behavior",12,"javs","use tools",1
6,2475,"implied_prevalence","psychological",13,"reesles","are intelligent",1
6,2790,"implied_prevalence","reproduction",14,"pangolins","lay eggs in other birds&quotechar nests",1
6,1920,"implied_prevalence","diet",15,"taifels","eat meat",1
6,2726,"implied_prevalence","disease",16,"grinks","are addicted to nicotine",0.66
6,2120,"implied_prevalence","physical",17,"cheebas","have brown fur",1
6,5088,"implied_prevalence","habitat",18,"sapers","live in urban areas",1
6,2045,"implied_prevalence","behavior",19,"stups","sing beautiful songs",1
6,2301,"implied_prevalence","diet",20,"crullets","eat garbage",1
6,1588,"implied_prevalence","behavior",21,"kweps","swim in shallow pools",1
6,2194,"implied_prevalence","physical",22,"moxes","have an excellent sense of smell",1
6,1951,"implied_prevalence","physical",23,"ludinos","have spots",1
6,1507,"implied_prevalence","physical",24,"kazzes","have white fur",0.92
6,1855,"implied_prevalence","diet",25,"thups","eat insects",1
6,6836,"implied_prevalence","reproduction",26,"morseths","lay eggs without needing fertilization",1
6,2500,"implied_prevalence","disease",27,"ackles","have seizures",0.76
6,43348,"implied_prevalence","psychological",28,"plovs","experience emotions",1
6,4015,"implied_prevalence","disease",29,"dunkels","carry malaria",0.73
6,2298,"implied_prevalence","psychological",30,"trufts","have personalities",1
6,3204,"implied_prevalence","habitat",31,"blins","live in trees",1
6,2438,"implied_prevalence","behavior",32,"zoovs","torture other animals",0.78
6,2395,"implied_prevalence","psychological",33,"luzaks","are afraid of loud noises",1
6,1637,"implied_prevalence","behavior",34,"daiths","hunt other animals",1
6,2369,"implied_prevalence","disease",35,"dorbs","carry Lyme disease",0.78
6,1686,"implied_prevalence","psychological",36,"glippets","are afraid of dogs",1
7,8866,"implied_prevalence","psychological",1,"ollers","have personalities",1
7,10268,"implied_prevalence","behavior",2,"kazzes","use tools",0.65
7,4694,"implied_prevalence","behavior",3,"cheebas","do handstands to scare off predators",0.93
7,2768,"implied_prevalence","psychological",4,"ludinos","mourn their dead",1
7,5322,"implied_prevalence","psychological",5,"feps","are afraid of loud noises",0.9
7,3732,"implied_prevalence","behavior",6,"lorches","sing beautiful songs",0.95
7,5626,"implied_prevalence","reproduction",7,"morseths","lay eggs without needing fertilization",0.5
7,2132,"implied_prevalence","diet",8,"ackles","eat insects",1
7,2758,"implied_prevalence","habitat",9,"zoovs","live in trees",0.94
7,4758,"implied_prevalence","habitat",10,"mooks","live in urban areas",0.88
7,4910,"implied_prevalence","behavior",11,"reesles","torture other animals",0.88
7,2073,"implied_prevalence","diet",12,"blins","eat grass",1
7,9896,"implied_prevalence","physical",13,"grinks","have spots",1
7,2408,"implied_prevalence","behavior",14,"dorbs","hunt other animals",0.91
7,4836,"implied_prevalence","diet",15,"thups","eat garbage",0.85
7,4599,"implied_prevalence","psychological",16,"sapers","experience emotions",1
7,3305,"implied_prevalence","disease",17,"kweps","carry Lyme disease",0.19
7,2662,"implied_prevalence","disease",18,"zorbs","carry malaria",0.14
7,2784,"implied_prevalence","disease",19,"wugs","are addicted to nicotine",0.13
7,5590,"implied_prevalence","reproduction",20,"dunkels","lay eggs in other birds&quotechar nests",0.5
7,3020,"implied_prevalence","behavior",21,"luzaks","fly into buildings",0.51
7,2303,"implied_prevalence","physical",22,"frams","have an excellent sense of smell",1
7,1773,"implied_prevalence","physical",23,"daiths","have white fur",1
7,3950,"implied_prevalence","habitat",24,"stups","live in zoos",0.23
7,3911,"implied_prevalence","psychological",25,"javs","know when earthquakes are about to happen",1
7,2166,"implied_prevalence","psychological",26,"plovs","are intelligent",1
7,4295,"implied_prevalence","reproduction",27,"dobles","give birth underwater",0.5
7,49229,"implied_prevalence","psychological",28,"glippets","experience empathy",1
7,3187,"implied_prevalence","behavior",29,"fendles","sleep during the day",1
7,2056,"implied_prevalence","physical",30,"taifels","have brown fur",1
7,2390,"implied_prevalence","psychological",31,"elleps","are afraid of dogs",0.92
7,2306,"implied_prevalence","diet",32,"krivels","eat meat",1
7,14300,"implied_prevalence","diet",33,"pangolins","eat people",0.18
7,5357,"implied_prevalence","disease",34,"moxes","have seizures",0.47
7,1909,"implied_prevalence","physical",35,"trufts","have beautiful feathers",1
7,5116,"implied_prevalence","behavior",36,"crullets","swim in shallow pools",1
8,9078,"implied_prevalence","physical",1,"javs","have white fur",1
8,2856,"implied_prevalence","diet",2,"zorbs","eat insects",1
8,2616,"implied_prevalence","diet",3,"grinks","eat grass",1
8,3677,"implied_prevalence","behavior",4,"ludinos","sleep during the day",0.77
8,3307,"implied_prevalence","disease",5,"sapers","carry malaria",0.59
8,3561,"implied_prevalence","reproduction",6,"taifels","lay eggs without needing fertilization",0.81
8,2082,"implied_prevalence","psychological",7,"dunkels","are afraid of dogs",0.83
8,16141,"implied_prevalence","behavior",8,"mooks","hunt other animals",0.64
8,5525,"implied_prevalence","physical",9,"luzaks","have beautiful feathers",0.7
8,3084,"implied_prevalence","psychological",10,"plovs","have personalities",0.83
8,3403,"implied_prevalence","habitat",11,"zoovs","live in trees",0.6
8,13293,"implied_prevalence","habitat",12,"glippets","live in urban areas",0.61
8,12306,"implied_prevalence","reproduction",13,"blins","give birth underwater",1
8,5118,"implied_prevalence","behavior",14,"dobles","sing beautiful songs",0.73
8,3842,"implied_prevalence","physical",15,"stups","have spots",0.68
8,4916,"implied_prevalence","behavior",16,"daiths","do handstands to scare off predators",0.69
8,3470,"implied_prevalence","behavior",17,"elleps","swim in shallow pools",0.8
8,4948,"implied_prevalence","psychological",18,"ackles","mourn their dead",0.64
8,11406,"implied_prevalence","behavior",19,"dorbs","torture other animals",0.83
8,38459,"implied_prevalence","psychological",20,"moxes","are intelligent",0.75
8,3988,"implied_prevalence","psychological",21,"kweps","are afraid of loud noises",0.68
8,2738,"implied_prevalence","diet",22,"fendles","eat meat",0.77
8,9539,"implied_prevalence","disease",23,"ollers","carry Lyme disease",0.6
8,3209,"implied_prevalence","diet",24,"crullets","eat people",1
8,1452,"implied_prevalence","physical",25,"lorches","have brown fur",0.64
8,2118,"implied_prevalence","physical",26,"morseths","have an excellent sense of smell",0.6
8,20890,"implied_prevalence","behavior",27,"kazzes","use tools",0.8
8,2706,"implied_prevalence","psychological",28,"krivels","experience empathy",0.57
8,1752,"implied_prevalence","behavior",29,"thups","fly into buildings",0.81
8,14617,"implied_prevalence","reproduction",30,"feps","lay eggs in other birds&quotechar nests",0.8
8,2515,"implied_prevalence","disease",31,"reesles","have seizures",0.62
8,3681,"implied_prevalence","psychological",32,"trufts","know when earthquakes are about to happen",0.47
8,2544,"implied_prevalence","diet",33,"wugs","eat garbage",0.85
8,1939,"implied_prevalence","habitat",34,"pangolins","live in zoos",0.76
8,3483,"implied_prevalence","disease",35,"cheebas","are addicted to nicotine",0.72
8,31600,"implied_prevalence","psychological",36,"frams","experience emotions",0.5
9,6695,"implied_prevalence","behavior",1,"mooks","do handstands to scare off predators",0.6
9,2748,"implied_prevalence","psychological",2,"reesles","mourn their dead",0.8
9,2351,"implied_prevalence","diet",3,"lorches","eat people",0.49
9,3269,"implied_prevalence","habitat",4,"blins","live in urban areas",0.62
9,6870,"implied_prevalence","behavior",5,"zoovs","sing beautiful songs",0.7
9,4514,"implied_prevalence","physical",6,"plovs","have brown fur",0.88
9,2126,"implied_prevalence","disease",7,"dunkels","have seizures",0.35
9,3133,"implied_prevalence","psychological",8,"moxes","know when earthquakes are about to happen",0.64
9,3696,"implied_prevalence","reproduction",9,"kazzes","lay eggs without needing fertilization",0.51
9,2543,"implied_prevalence","psychological",10,"zorbs","have personalities",0.81
9,2934,"implied_prevalence","physical",11,"wugs","have spots",0.93
9,2616,"implied_prevalence","psychological",12,"taifels","experience emotions",0.91
9,2150,"implied_prevalence","diet",13,"thups","eat meat",0.94
9,2363,"implied_prevalence","psychological",14,"grinks","are afraid of loud noises",0.67
9,2390,"implied_prevalence","physical",15,"glippets","have beautiful feathers",0.66
9,3124,"implied_prevalence","diet",16,"sapers","eat grass",0.85
9,47295,"implied_prevalence","reproduction",17,"javs","lay eggs in other birds&quotechar nests",0.52
9,2074,"implied_prevalence","habitat",18,"dorbs","live in trees",0.8
9,3966,"implied_prevalence","psychological",19,"morseths","are intelligent",0.63
9,2809,"implied_prevalence","diet",20,"trufts","eat garbage",0.72
9,2617,"implied_prevalence","psychological",21,"ludinos","experience empathy",0.91
9,78419,"implied_prevalence","behavior",22,"dobles","torture other animals",0.35
9,2310,"implied_prevalence","disease",23,"elleps","carry Lyme disease",0.31
9,2039,"implied_prevalence","disease",24,"ackles","are addicted to nicotine",0.36
9,2215,"implied_prevalence","disease",25,"fendles","carry malaria",0.25
9,2420,"implied_prevalence","physical",26,"krivels","have an excellent sense of smell",0.81
9,1675,"implied_prevalence","diet",27,"daiths","eat insects",0.81
9,2778,"implied_prevalence","reproduction",28,"ollers","give birth underwater",0.49
9,2733,"implied_prevalence","habitat",29,"feps","live in zoos",0.12
9,2742,"implied_prevalence","behavior",30,"pangolins","swim in shallow pools",0.38
9,2396,"implied_prevalence","behavior",31,"stups","sleep during the day",0.82
9,2531,"implied_prevalence","behavior",32,"crullets","hunt other animals",0.81
9,4307,"implied_prevalence","physical",33,"kweps","have white fur",0.75
9,1806,"implied_prevalence","behavior",34,"cheebas","use tools",0.59
9,2269,"implied_prevalence","behavior",35,"luzaks","fly into buildings",0.25
9,3141,"implied_prevalence","psychological",36,"frams","are afraid of dogs",0.72
10,6977,"implied_prevalence","behavior",1,"sapers","sleep during the day",0.94
10,4739,"implied_prevalence","psychological",2,"wugs","have personalities",1
10,4188,"implied_prevalence","physical",3,"dorbs","have beautiful feathers",0.96
10,3249,"implied_prevalence","physical",4,"dunkels","have brown fur",0.99
10,27683,"implied_prevalence","behavior",5,"kweps","do handstands to scare off predators",0.99
10,4802,"implied_prevalence","behavior",6,"fendles","torture other animals",0.98
10,11174,"implied_prevalence","reproduction",7,"krivels","lay eggs without needing fertilization",0.92
10,3511,"implied_prevalence","psychological",8,"stups","mourn their dead",1
10,3023,"implied_prevalence","physical",9,"mooks","have white fur",0.98
10,3536,"implied_prevalence","psychological",10,"taifels","experience emotions",0.98
10,4670,"implied_prevalence","psychological",11,"kazzes","know when earthquakes are about to happen",0.97
10,3738,"implied_prevalence","habitat",12,"ludinos","live in urban areas",0.93
10,3480,"implied_prevalence","behavior",13,"ackles","sing beautiful songs",0.97
10,3320,"implied_prevalence","disease",14,"javs","have seizures",0.99
10,4242,"implied_prevalence","diet",15,"blins","eat meat",1
10,6986,"implied_prevalence","reproduction",16,"trufts","lay eggs in other birds&quotechar nests",0.98
10,5532,"implied_prevalence","physical",17,"thups","have an excellent sense of smell",0.99
10,4871,"implied_prevalence","behavior",18,"ollers","hunt other animals",0.99
10,6239,"implied_prevalence","reproduction",19,"dobles","give birth underwater",0.52
10,4095,"implied_prevalence","diet",20,"plovs","eat grass",0.99
10,5936,"implied_prevalence","disease",21,"lorches","carry Lyme disease",0.83
10,14632,"implied_prevalence","diet",22,"luzaks","eat insects",1
10,2984,"implied_prevalence","behavior",23,"glippets","use tools",0.98
10,4101,"implied_prevalence","behavior",24,"frams","swim in shallow pools",1
10,3357,"implied_prevalence","psychological",25,"zoovs","experience empathy",1
10,3286,"implied_prevalence","habitat",26,"zorbs","live in trees",1
10,3948,"implied_prevalence","habitat",27,"feps","live in zoos",0.82
10,3650,"implied_prevalence","psychological",28,"elleps","are afraid of dogs",0.97
10,3512,"implied_prevalence","psychological",29,"pangolins","are afraid of loud noises",0.99
10,4965,"implied_prevalence","disease",30,"grinks","are addicted to nicotine",0.84
