"workerid","rt","trial_type","property_type","trial_num","category","explanation","original_response","property","response"
0,2891,"implied_prevalence","diet",23,"javs",NA,NA,"eat grass",0.96
0,2594,"implied_prevalence","disease_self",24,"elleps",NA,NA,"have strange genetic mutations",0.97
0,2323,"implied_prevalence","psychological",25,"zorbs",NA,NA,"know when earthquakes are about to happen",0.95
0,2562,"implied_prevalence","behavior_aggressive",26,"glippets",NA,NA,"get in fights with other animals",0.97
0,2454,"implied_prevalence","behavior",27,"dunkels",NA,NA,"play with bottlecaps",0.98
0,2409,"implied_prevalence","disease_self",28,"blins",NA,NA,"get dandruff",0.98
0,2662,"implied_prevalence","habitat",29,"moxes",NA,NA,"live in the hulls of sea vessels",0.98
0,3070,"implied_prevalence","physical",30,"daiths",NA,NA,"live to be twenty years old",0.95
0,3994,"implied_prevalence","diet",31,"dorbs",NA,NA,"drink soda",0.95
0,3923,"implied_prevalence","behavior",32,"ludinos",NA,NA,"swim in shallow pools",0.95
0,2485,"implied_prevalence","disease_other",33,"grinks",NA,NA,"carry Lyme disease",0.98
0,2678,"implied_prevalence","reproduction",34,"kazzes",NA,NA,"lay eggs in other birds&quotechar nests",0.92
0,3515,"implied_prevalence","psychological",35,"krivels",NA,NA,"develop phobias",0.95
1,2608,"implied_prevalence","disease_other",1,"sapers",NA,NA,"transmit rabies",0.38
1,767,"implied_prevalence","disease_self",2,"plovs",NA,NA,"lose their teeth",0.52
1,119299,"implied_prevalence","behavior_aggressive",3,"wugs",NA,NA,"hunt other animals",0.38
1,69290,"implied_prevalence","disease_self",4,"frams",NA,NA,"go bald",0.32
1,13531,"implied_prevalence","physical",5,"zorbs",NA,NA,"live to be twenty years old",0.31
1,994,"implied_prevalence","psychological",6,"moxes",NA,NA,"know when earthquakes are about to happen",0.48
1,808,"implied_prevalence","diet",7,"stups",NA,NA,"eat garbage",0.38
1,789,"implied_prevalence","reproduction",8,"krivels",NA,NA,"attract mates by secreting pheromones",0.55
1,703,"implied_prevalence","physical",9,"elleps",NA,NA,"have intensely beautiful feathers",0.36
1,2166,"implied_prevalence","reproduction",10,"dobles",NA,NA,"give birth underwater",0.62
1,869,"implied_prevalence","behavior_aggressive",11,"thups",NA,NA,"get in fights with other animals",0.39
1,6009,"implied_prevalence","disease_other",12,"morseths",NA,NA,"carry Lyme disease",0.47
1,1454,"implied_prevalence","behavior_aggressive",13,"glippets",NA,NA,"pound their chests to display dominance",0.41
1,838,"implied_prevalence","physical",14,"grinks",NA,NA,"live to be five hundred years old",0.73
1,1178,"implied_prevalence","psychological",15,"mooks",NA,NA,"experience emotions",0.38
1,14518,"implied_prevalence","habitat",16,"dunkels",NA,NA,"live in zoos",0.26
1,837,"implied_prevalence","behavior",17,"kazzes",NA,NA,"sleep during the day",0.44
1,760,"implied_prevalence","diet",18,"fendles",NA,NA,"cannibalize each other",0.51
1,8736,"implied_prevalence","diet",19,"blins",NA,NA,"eat people",0.2
1,848,"implied_prevalence","behavior",20,"taifels",NA,NA,"ride the subway",0.49
1,722,"implied_prevalence","physical",21,"zoovs",NA,NA,"have very long wings",0.34
1,784,"implied_prevalence","behavior_aggressive",22,"lorches",NA,NA,"capture other animals&quotechar territory",0.45
1,1516,"implied_prevalence","behavior",23,"javs",NA,NA,"swim in shallow pools",0.27
1,933,"implied_prevalence","psychological",24,"dorbs",NA,NA,"mourn their dead",0.53
1,768,"implied_prevalence","behavior",25,"ludinos",NA,NA,"use tools",0.39
1,856,"implied_prevalence","reproduction",26,"ollers",NA,NA,"lay eggs without needing fertilization",0.53
1,37656,"implied_prevalence","physical",27,"reesles",NA,NA,"have spots",0.21
1,690,"implied_prevalence","behavior_aggressive",28,"cheebas",NA,NA,"attack hikers",0.52
1,1168,"implied_prevalence","disease_self",29,"luzaks",NA,NA,"get dandruff",0.41
1,627,"implied_prevalence","disease_self",30,"trufts",NA,NA,"have seizures",0.54
1,704,"implied_prevalence","reproduction",31,"daiths",NA,NA,"have a menstrual cycle",0.42
1,8372,"implied_prevalence","physical",32,"ackles",NA,NA,"live to be a hundred years old",0.4
1,681,"implied_prevalence","diet",33,"feps",NA,NA,"eat insects",0.49
1,713,"implied_prevalence","diet",34,"kweps",NA,NA,"eat grass",0.41
1,696,"implied_prevalence","psychological",35,"crullets",NA,NA,"develop phobias",0.52
1,5673,"explain_responses","physical",1,"elleps","No",0.36,"have intensely beautiful feathers",0.24
1,5781,"explain_responses","behavior",2,"ludinos","No",0.39,"use tools",0.11
1,4284,"explain_responses","reproduction",3,"daiths","no",0.42,"have a menstrual cycle",0.32
1,3541,"explain_responses","behavior",4,"kazzes","no",0.44,"sleep during the day",0.4
1,3562,"explain_responses","behavior_aggressive",5,"glippets","no",0.41,"pound their chests to display dominance",0.41
2,3135,"implied_prevalence","reproduction",1,"morseths",NA,NA,"attract mates by secreting pheromones",0.53
2,3958,"implied_prevalence","reproduction",2,"dorbs",NA,NA,"lay eggs in other birds&quotechar nests",0.3
2,1745,"implied_prevalence","habitat",3,"wugs",NA,NA,"live in trees",0.67
2,2448,"implied_prevalence","physical",4,"sapers",NA,NA,"have intensely beautiful feathers",0.56
2,5767,"implied_prevalence","reproduction",5,"dunkels",NA,NA,"lay eggs without needing fertilization",0.26
2,3033,"implied_prevalence","behavior_aggressive",6,"cheebas",NA,NA,"attack hikers",0.51
2,2335,"implied_prevalence","disease_self",7,"luzaks",NA,NA,"have strange genetic mutations",0.37
2,2576,"implied_prevalence","behavior",8,"moxes",NA,NA,"play with bottlecaps",0.34
2,1769,"implied_prevalence","disease_self",9,"kweps",NA,NA,"have seizures",0.28
2,1903,"implied_prevalence","behavior",10,"fendles",NA,NA,"like to cuddle",0.48
2,1880,"implied_prevalence","disease_other",11,"thups",NA,NA,"carry Lyme disease",0.76
2,2400,"implied_prevalence","behavior_aggressive",12,"ludinos",NA,NA,"get in fights with other animals",0.48
2,2137,"implied_prevalence","disease_other",13,"dobles",NA,NA,"carry malaria",0.51
2,2888,"implied_prevalence","psychological",14,"taifels",NA,NA,"have personalities",0.5
2,1671,"implied_prevalence","diet",15,"ackles",NA,NA,"eat grass",0.73
2,2112,"implied_prevalence","reproduction",16,"reesles",NA,NA,"have dozens of sexual partners",0.32
2,2103,"implied_prevalence","behavior",17,"zoovs",NA,NA,"fly into building windows",0.54
2,2615,"implied_prevalence","behavior",18,"feps",NA,NA,"swim in shallow pools",0.54
2,1889,"implied_prevalence","diet",19,"daiths",NA,NA,"eat human food",0.68
2,2062,"implied_prevalence","psychological",20,"kazzes",NA,NA,"are afraid of dogs",0.66
2,2344,"implied_prevalence","diet",21,"frams",NA,NA,"fish in the Hudson River",0.74
2,2057,"implied_prevalence","psychological",22,"stups",NA,NA,"develop phobias",0.27
2,2464,"implied_prevalence","behavior_aggressive",23,"javs",NA,NA,"capture other animals&quotechar territory",0.51
2,1711,"implied_prevalence","habitat",24,"glippets",NA,NA,"live in urban areas",0.73
2,2480,"implied_prevalence","psychological",25,"lorches",NA,NA,"know when earthquakes are about to happen",0.3
2,2287,"implied_prevalence","diet",26,"trufts",NA,NA,"feed on the carcasses of dead animals",0.71
2,2353,"implied_prevalence","disease_self",27,"elleps",NA,NA,"go bald",0.42
2,1975,"implied_prevalence","behavior",28,"plovs",NA,NA,"chase their tails",0.49
2,1873,"implied_prevalence","psychological",29,"blins",NA,NA,"are afraid of loud noises",0.73
2,2248,"implied_prevalence","behavior",30,"zorbs",NA,NA,"use tools",0.33
2,3222,"implied_prevalence","diet",31,"crullets",NA,NA,"eat cannabis",0.35
2,1712,"implied_prevalence","reproduction",32,"krivels",NA,NA,"get erections",0.24
2,2265,"implied_prevalence","reproduction",33,"mooks",NA,NA,"give birth underwater",0.54
2,1950,"implied_prevalence","physical",34,"grinks",NA,NA,"live to be five hundred years old",0.18
2,4551,"implied_prevalence","diet",35,"ollers",NA,NA,"eat insects",0.8
2,15174,"explain_responses","physical",1,"grinks","Because that&quotechars a long time to live. ",0.18,"live to be five hundred years old",0.18
2,29840,"explain_responses","behavior",2,"zorbs","some animals are smart enough to figure out tools. ",0.33,"use tools",0.33
2,10183,"explain_responses","diet",3,"crullets","It&quotechars a plant. ",0.35,"eat cannabis",0.35
2,10449,"explain_responses","reproduction",4,"reesles","Most mammals do?",0.32,"have dozens of sexual partners",0.53
2,14832,"explain_responses","disease_self",5,"kweps","Some animals have seizures.",0.28,"have seizures",0.28
3,6435,"implied_prevalence","diet",1,"moxes",NA,NA,"eat grass",0.51
3,4412,"implied_prevalence","reproduction",2,"luzaks",NA,NA,"attract mates by secreting pheromones",0.95
3,2675,"implied_prevalence","disease_self",3,"dunkels",NA,NA,"get cancer",0.52
3,5990,"implied_prevalence","disease_self",4,"sapers",NA,NA,"develop back problems",0.52
3,2467,"implied_prevalence","behavior_aggressive",5,"frams",NA,NA,"pound their chests to display dominance",1
3,2087,"implied_prevalence","psychological",6,"zorbs",NA,NA,"experience empathy",1
3,2560,"implied_prevalence","behavior",7,"ludinos",NA,NA,"sleep during the day",0.98
3,2419,"implied_prevalence","habitat",8,"mooks",NA,NA,"live in zoos",0.26
3,1970,"implied_prevalence","diet",9,"javs",NA,NA,"eat garbage",0.24
3,1639,"implied_prevalence","behavior_aggressive",10,"daiths",NA,NA,"steal farmers&quotechar crops",0.49
3,1713,"implied_prevalence","behavior",11,"feps",NA,NA,"sing beautiful songs",1
3,1843,"implied_prevalence","disease_other",12,"cheebas",NA,NA,"carry Lyme disease",1
3,1688,"implied_prevalence","habitat",13,"reesles",NA,NA,"live in urban areas",0.5
3,1649,"implied_prevalence","behavior_aggressive",14,"crullets",NA,NA,"attack hikers",0.51
3,1877,"implied_prevalence","diet",15,"ackles",NA,NA,"cannibalize each other",0.47
3,2441,"implied_prevalence","behavior_aggressive",16,"stups",NA,NA,"capture other animals&quotechar territory",1
3,1642,"implied_prevalence","physical",17,"trufts",NA,NA,"have four legs",1
3,1859,"implied_prevalence","diet",18,"krivels",NA,NA,"drink soda",0
3,3266,"implied_prevalence","disease_other",19,"kweps",NA,NA,"transmit rabies",0.85
3,2214,"implied_prevalence","behavior",20,"morseths",NA,NA,"chase their tails",1
3,1624,"implied_prevalence","behavior_aggressive",21,"dorbs",NA,NA,"hunt other animals",1
3,1562,"implied_prevalence","diet",22,"fendles",NA,NA,"eat insects",1
3,2355,"implied_prevalence","physical",23,"elleps",NA,NA,"live to be five hundred years old",0.55
3,2433,"implied_prevalence","behavior",24,"plovs",NA,NA,"fly into building windows",0.71
3,2184,"implied_prevalence","behavior",25,"dobles",NA,NA,"do handstands to scare off predators",1
3,3116,"implied_prevalence","psychological",26,"blins",NA,NA,"know when earthquakes are about to happen",0.64
3,1578,"implied_prevalence","psychological",27,"ollers",NA,NA,"have personalities",1
3,2015,"implied_prevalence","behavior",28,"lorches",NA,NA,"perform in the circus",0.56
3,2655,"implied_prevalence","psychological",29,"taifels",NA,NA,"are afraid of loud noises",1
3,2330,"implied_prevalence","reproduction",30,"grinks",NA,NA,"have dozens of sexual partners",1
3,1752,"implied_prevalence","reproduction",31,"glippets",NA,NA,"get erections",1
3,1906,"implied_prevalence","disease_self",32,"wugs",NA,NA,"lose their teeth",0.88
3,1626,"implied_prevalence","physical",33,"kazzes",NA,NA,"live to be twenty years old",0.89
3,1899,"implied_prevalence","behavior",34,"zoovs",NA,NA,"use tools",1
3,1868,"implied_prevalence","psychological",35,"thups",NA,NA,"know how to open doors",1
3,11961,"explain_responses","habitat",1,"mooks","not all are captured",0.26,"live in zoos",0.26
3,15658,"explain_responses","diet",2,"krivels","none drink soda because they don&quotechart live near humans?",0,"drink soda",0
3,6766,"explain_responses","behavior_aggressive",3,"daiths","not all live near farmers",0.49,"steal farmers&quotechar crops",0.49
3,7201,"explain_responses","diet",4,"ackles","not all eat each other",0.47,"cannibalize each other",0.47
3,6814,"explain_responses","diet",5,"javs","not all live near garbage",0.24,"eat garbage",0.24
4,11477,"implied_prevalence","habitat",1,"grinks",NA,NA,"live in urban areas",0.94
4,5678,"implied_prevalence","physical",2,"frams",NA,NA,"have spots",1
4,11110,"implied_prevalence","physical",3,"fendles",NA,NA,"live to be twenty years old",0.86
4,5927,"implied_prevalence","reproduction",4,"feps",NA,NA,"lay eggs without needing fertilization",1
4,9367,"implied_prevalence","behavior",5,"kweps",NA,NA,"play with bottlecaps",0.2
4,6318,"implied_prevalence","disease_other",6,"mooks",NA,NA,"carry malaria",0.02
4,4735,"implied_prevalence","diet",7,"moxes",NA,NA,"eat garbage",0.42
4,4064,"implied_prevalence","reproduction",8,"cheebas",NA,NA,"have a menstrual cycle",1
4,2840,"implied_prevalence","reproduction",9,"blins",NA,NA,"give birth underwater",1
4,5024,"implied_prevalence","behavior",10,"sapers",NA,NA,"like to cuddle",1
4,8263,"implied_prevalence","physical",11,"thups",NA,NA,"have intensely beautiful feathers",0.98
4,5447,"implied_prevalence","psychological",12,"kazzes",NA,NA,"know when earthquakes are about to happen",0.92
4,4403,"implied_prevalence","psychological",13,"dobles",NA,NA,"mourn their dead",0.98
4,5216,"implied_prevalence","diet",14,"lorches",NA,NA,"feed on the carcasses of dead animals",1
4,8173,"implied_prevalence","habitat",15,"zorbs",NA,NA,"live in high-rise buildings",0.86
4,9465,"implied_prevalence","physical",16,"crullets",NA,NA,"have very long wings",0.98
4,4129,"implied_prevalence","psychological",17,"luzaks",NA,NA,"are afraid of dogs",0.9
4,3604,"implied_prevalence","behavior_aggressive",18,"wugs",NA,NA,"pound their chests to display dominance",1
4,3975,"implied_prevalence","diet",19,"stups",NA,NA,"eat insects",1
4,5585,"implied_prevalence","behavior_aggressive",20,"elleps",NA,NA,"attack hikers",0.01
4,4904,"implied_prevalence","diet",21,"trufts",NA,NA,"eat human food",0.56
4,4420,"implied_prevalence","physical",22,"javs",NA,NA,"have an exquisite sense of smell",1
4,4217,"implied_prevalence","psychological",23,"morseths",NA,NA,"are afraid of loud noises",1
4,4271,"implied_prevalence","psychological",24,"daiths",NA,NA,"develop phobias",0.03
4,3798,"implied_prevalence","reproduction",25,"dorbs",NA,NA,"get erections",1
4,7465,"implied_prevalence","disease_self",26,"dunkels",NA,NA,"go bald",0.99
4,5949,"implied_prevalence","reproduction",27,"krivels",NA,NA,"lay eggs in other birds&quotechar nests",0.76
4,4238,"implied_prevalence","diet",28,"glippets",NA,NA,"drink soda",0.01
4,3487,"implied_prevalence","disease_self",29,"taifels",NA,NA,"have seizures",0.02
4,5334,"implied_prevalence","behavior_aggressive",30,"zoovs",NA,NA,"carry out premeditated murder",0.01
4,8070,"implied_prevalence","behavior",31,"reesles",NA,NA,"chase their tails",0.51
4,3983,"implied_prevalence","disease_self",32,"ludinos",NA,NA,"get addicted to nicotine",0.82
4,6406,"implied_prevalence","behavior",33,"ollers",NA,NA,"fly into building windows",0.01
4,5265,"implied_prevalence","diet",34,"ackles",NA,NA,"eat people",0.01
4,4927,"implied_prevalence","disease_other",35,"plovs",NA,NA,"transmit rabies",0.11
4,17584,"explain_responses","behavior_aggressive",1,"elleps","Only a small number attack in my opinion",0.01,"attack hikers",0.01
4,24524,"explain_responses","disease_self",2,"taifels","Humans have siezures as well, but only a small percentage of people",0.02,"have seizures",0.02
4,14042,"explain_responses","behavior",3,"ollers","all birds fly into windows, just not often",0.01,"fly into building windows",0.01
4,23173,"explain_responses","psychological",4,"daiths","I don&quotechart think a very large percentage of Daiths would develop a phobia",0.03,"develop phobias",0.03
4,23277,"explain_responses","behavior_aggressive",5,"zoovs","this is crazy, had to select one because someone told me that they do it",0.01,"carry out premeditated murder",0.01
5,16198,"implied_prevalence","behavior_aggressive",1,"sapers",NA,NA,"get in fights with other animals",0.79
5,6835,"implied_prevalence","disease_other",2,"morseths",NA,NA,"transmit rabies",0.33
5,9185,"implied_prevalence","reproduction",3,"thups",NA,NA,"give birth underwater",1
5,6737,"implied_prevalence","physical",4,"ollers",NA,NA,"have spots",0.85
5,11503,"implied_prevalence","behavior_aggressive",5,"ackles",NA,NA,"pound their chests to display dominance",1
5,6700,"implied_prevalence","diet",6,"taifels",NA,NA,"eat people",0.13
5,6428,"implied_prevalence","psychological",7,"javs",NA,NA,"know how to open doors",0.33
5,6636,"implied_prevalence","diet",8,"trufts",NA,NA,"eat garbage",0.75
5,7598,"implied_prevalence","disease_other",9,"krivels",NA,NA,"carry malaria",0.24
5,9569,"implied_prevalence","habitat",10,"cheebas",NA,NA,"live in high-rise buildings",0.4
5,6259,"implied_prevalence","behavior",11,"blins",NA,NA,"chase their tails",0.97
5,5945,"implied_prevalence","disease_self",12,"zorbs",NA,NA,"have seizures",0.27
5,7251,"implied_prevalence","physical",13,"glippets",NA,NA,"have intensely beautiful feathers",0.94
5,7092,"implied_prevalence","diet",14,"frams",NA,NA,"cannibalize each other",0.83
5,5460,"implied_prevalence","behavior_aggressive",15,"feps",NA,NA,"steal farmers&quotechar crops",0.67
5,10040,"implied_prevalence","reproduction",16,"dobles",NA,NA,"have a menstrual cycle",0.49
5,5817,"implied_prevalence","behavior",17,"crullets",NA,NA,"ride the subway",0.49
5,7893,"implied_prevalence","behavior",18,"daiths",NA,NA,"do handstands to scare off predators",1
5,6054,"implied_prevalence","disease_self",19,"grinks",NA,NA,"get dandruff",0.53
5,5003,"implied_prevalence","behavior_aggressive",20,"mooks",NA,NA,"torture other animals",0.68
5,6618,"implied_prevalence","reproduction",21,"kweps",NA,NA,"lay eggs in other birds&quotechar nests",0.99
5,4429,"implied_prevalence","behavior",22,"elleps",NA,NA,"sing beautiful songs",0.97
5,5135,"implied_prevalence","psychological",23,"dorbs",NA,NA,"develop phobias",0.27
5,7165,"implied_prevalence","diet",24,"moxes",NA,NA,"fish in the Hudson River",0.17
5,4530,"implied_prevalence","disease_self",25,"fendles",NA,NA,"develop back problems",0.25
5,5831,"implied_prevalence","physical",26,"wugs",NA,NA,"have very long wings",0.97
5,3996,"implied_prevalence","diet",27,"stups",NA,NA,"eat candy wrappers",0.27
5,4182,"implied_prevalence","habitat",28,"zoovs",NA,NA,"live in trees",0.99
5,6707,"implied_prevalence","diet",29,"reesles",NA,NA,"eat human food",0.18
5,6364,"implied_prevalence","behavior_aggressive",30,"plovs",NA,NA,"hunt other animals",1
5,4349,"implied_prevalence","physical",31,"lorches",NA,NA,"have brown fur",0.79
5,6078,"implied_prevalence","behavior",32,"luzaks",NA,NA,"play with bottlecaps",0.25
5,7223,"implied_prevalence","psychological",33,"kazzes",NA,NA,"experience empathy",0.98
5,5616,"implied_prevalence","habitat",34,"dunkels",NA,NA,"live in zoos",0.15
5,5218,"implied_prevalence","behavior",35,"ludinos",NA,NA,"perform in the circus",0.08
5,51816,"explain_responses","diet",1,"moxes","The hudson is on a small body compared to the world. I don&quotechart know the population of Moxes",0.17,"fish in the Hudson River",0.17
5,29193,"explain_responses","psychological",2,"javs","Trying to think of the amount of them that have been given the opportunity. ",0.33,"know how to open doors",0.33
5,43907,"explain_responses","behavior",3,"luzaks","I can&quotechart tell the population of how many can do it or do it if they haven&quotechart had the option to. ",0.25,"play with bottlecaps",0.14
5,63770,"explain_responses","habitat",4,"cheebas","I don&quotechart know what a Cheeba is so I can not no the amount that live in high rises I can only assume it is a pet.",0.4,"live in high-rise buildings",0.14
5,48656,"explain_responses","diet",5,"stups","They could all eat them but what percentage of them have, I guess they all can. ",0.27,"eat candy wrappers",0.27
6,8781,"implied_prevalence","behavior",1,"wugs",NA,NA,"do handstands to scare off predators",0.75
6,11127,"implied_prevalence","disease_self",2,"dorbs",NA,NA,"get cancer",0.28
6,3637,"implied_prevalence","behavior",3,"plovs",NA,NA,"perform in the circus",0.82
6,3879,"implied_prevalence","diet",4,"kweps",NA,NA,"eat cannabis",0.51
6,3839,"implied_prevalence","physical",5,"zorbs",NA,NA,"have brown fur",1
6,3209,"implied_prevalence","disease_self",6,"lorches",NA,NA,"go bald",0.95
6,3643,"implied_prevalence","psychological",7,"ludinos",NA,NA,"know how to ride bicycles",0.8
6,2768,"implied_prevalence","diet",8,"reesles",NA,NA,"eat grass",0.84
6,7343,"implied_prevalence","behavior",9,"blins",NA,NA,"chase their tails",0.58
6,1644,"implied_prevalence","behavior_aggressive",10,"glippets",NA,NA,"steal farmers&quotechar crops",0.38
6,2448,"implied_prevalence","physical",11,"ackles",NA,NA,"have intensely beautiful feathers",0.64
6,3935,"implied_prevalence","diet",12,"sapers",NA,NA,"fish in the Hudson River",0.8
6,3112,"implied_prevalence","reproduction",13,"daiths",NA,NA,"lay eggs without needing fertilization",1
6,3135,"implied_prevalence","disease_self",14,"javs",NA,NA,"get addicted to nicotine",0.5
6,3323,"implied_prevalence","diet",15,"feps",NA,NA,"eat people",1
6,4960,"implied_prevalence","physical",16,"morseths",NA,NA,"live to be a hundred years old",0.77
6,2501,"implied_prevalence","physical",17,"frams",NA,NA,"have very long wings",0.93
6,2718,"implied_prevalence","behavior_aggressive",18,"kazzes",NA,NA,"pound their chests to display dominance",0.75
6,908,"implied_prevalence","disease_other",19,"zoovs",NA,NA,"transmit rabies",0.54
6,1204,"implied_prevalence","psychological",20,"fendles",NA,NA,"are intelligent",0.41
6,1126,"implied_prevalence","reproduction",21,"mooks",NA,NA,"give birth underwater",0.75
6,845,"implied_prevalence","diet",22,"dobles",NA,NA,"cannibalize each other",0.73
6,849,"implied_prevalence","diet",23,"trufts",NA,NA,"eat human food",0.75
6,9861,"implied_prevalence","reproduction",24,"ollers",NA,NA,"lay eggs in other birds&quotechar nests",0.62
6,1545,"implied_prevalence","physical",25,"krivels",NA,NA,"live to be twenty years old",0.48
6,1343,"implied_prevalence","disease_other",26,"dunkels",NA,NA,"transmit HIV",0.74
6,1529,"implied_prevalence","behavior_aggressive",27,"taifels",NA,NA,"carry out premeditated murder",0.79
6,3536,"implied_prevalence","behavior_aggressive",28,"luzaks",NA,NA,"torture other animals",0.91
6,3366,"implied_prevalence","disease_other",29,"moxes",NA,NA,"carry malaria",0.39
6,1564,"implied_prevalence","behavior_aggressive",30,"crullets",NA,NA,"attack hikers",0.5
6,2743,"implied_prevalence","behavior",31,"thups",NA,NA,"use tools",0.67
6,2752,"implied_prevalence","habitat",32,"elleps",NA,NA,"live in the hulls of sea vessels",0.74
6,45200,"implied_prevalence","diet",33,"grinks",NA,NA,"drink soda",0.74
6,2341,"implied_prevalence","habitat",34,"cheebas",NA,NA,"live in zoos",0.76
6,3215,"implied_prevalence","behavior_aggressive",35,"stups",NA,NA,"get in fights with other animals",0.56
6,21787,"explain_responses","physical",1,"krivels","20 is a low number",0.48,"live to be twenty years old",0.5
6,18255,"explain_responses","psychological",2,"fendles","I find it hard to believe that they all would be intelligent ",0.41,"are intelligent",0.51
6,19347,"explain_responses","behavior_aggressive",3,"glippets","38% is a high number",0.38,"steal farmers&quotechar crops",0.38
6,13627,"explain_responses","disease_self",4,"dorbs","everyone can&quotechart get cancer",0.28,"get cancer",0.28
6,23664,"explain_responses","disease_other",5,"moxes","every moxe wont carry the disease ",0.39,"carry malaria",0.39
7,6310,"implied_prevalence","diet",1,"thups",NA,NA,"eat garbage",0.58
7,3480,"implied_prevalence","psychological",2,"lorches",NA,NA,"experience emotions",0.39
7,1543,"implied_prevalence","psychological",3,"cheebas",NA,NA,"are intelligent",0.36
7,2536,"implied_prevalence","physical",4,"kazzes",NA,NA,"have very long wings",0.85
7,1480,"implied_prevalence","physical",5,"javs",NA,NA,"have brown fur",0.71
7,1849,"implied_prevalence","behavior",6,"fendles",NA,NA,"use tools",0.5
7,1711,"implied_prevalence","diet",7,"wugs",NA,NA,"drink soda",0.39
7,1680,"implied_prevalence","psychological",8,"stups",NA,NA,"know how to ride bicycles",0.6
7,856,"implied_prevalence","reproduction",9,"sapers",NA,NA,"attract mates by secreting pheromones",0.55
7,880,"implied_prevalence","disease_self",10,"moxes",NA,NA,"go bald",0.59
7,1295,"implied_prevalence","behavior_aggressive",11,"ollers",NA,NA,"steal farmers&quotechar crops",0.63
7,1199,"implied_prevalence","diet",12,"zorbs",NA,NA,"feed on the carcasses of dead animals",0.51
7,1184,"implied_prevalence","behavior",13,"elleps",NA,NA,"fly into building windows",0.66
7,1279,"implied_prevalence","behavior_aggressive",14,"ackles",NA,NA,"attack hikers",0.55
7,1328,"implied_prevalence","behavior",15,"blins",NA,NA,"sing beautiful songs",0.72
7,1543,"implied_prevalence","disease_self",16,"kweps",NA,NA,"lose their teeth",0.72
7,1672,"implied_prevalence","behavior_aggressive",17,"crullets",NA,NA,"torture other animals",0.41
7,1561,"implied_prevalence","habitat",18,"krivels",NA,NA,"live in trees",0.58
7,2120,"implied_prevalence","behavior",19,"dunkels",NA,NA,"do handstands to scare off predators",0.43
7,2336,"implied_prevalence","behavior_aggressive",20,"plovs",NA,NA,"carry out premeditated murder",0.31
7,2647,"implied_prevalence","psychological",21,"feps",NA,NA,"know when earthquakes are about to happen",0.63
7,1681,"implied_prevalence","disease_self",22,"luzaks",NA,NA,"have seizures",0.42
7,1239,"implied_prevalence","behavior",23,"dobles",NA,NA,"swim in shallow pools",0.5
7,665,"implied_prevalence","disease_self",24,"glippets",NA,NA,"develop back problems",0.61
7,696,"implied_prevalence","physical",25,"daiths",NA,NA,"live to be five hundred years old",0.54
7,928,"implied_prevalence","psychological",26,"taifels",NA,NA,"develop phobias",0.65
7,1248,"implied_prevalence","reproduction",27,"morseths",NA,NA,"give birth underwater",0.59
7,1511,"implied_prevalence","habitat",28,"dorbs",NA,NA,"live in urban areas",0.66
7,2072,"implied_prevalence","diet",29,"trufts",NA,NA,"eat grass",0.89
7,1016,"implied_prevalence","disease_self",30,"reesles",NA,NA,"get dandruff",0.56
7,1112,"implied_prevalence","diet",31,"grinks",NA,NA,"eat people",0.7
7,1096,"implied_prevalence","reproduction",32,"frams",NA,NA,"lay eggs in other birds&quotechar nests",0.56
