"workerid","rt","trial_type","property","trial_num","experimentResults","missing","explanation","n_data","condition","distribution","property_type","response","category"
2,123486,"prior_manipulation","know when earthquakes are about to happen",1,"[0, 0, 0, 98, 1, 100, 98, 100, 1, 100, u'?']",10,"Following the pattern from the previous findings.",10,"prior","rare_deterministic","psychological",0.09,"O"
3,198216,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 100, 100, 19, 27, 22, 98, 99, 26, 29, u'?']",10,"no, I guessed ",10,"prior","weak_or_deterministic","psychological",0.52,"K"
3,198216,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 100, 100, 19, 27, 22, 98, 99, 26, 29, u'?']",10,"no, I guessed ",10,"prior","weak_or_deterministic","psychological",0.44,"L"
3,198216,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 100, 100, 19, 27, 22, 98, 99, 26, 29, u'?']",10,"no, I guessed ",10,"prior","weak_or_deterministic","psychological",0.55,"M"
3,198216,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 100, 100, 19, 27, 22, 98, 99, 26, 29, u'?']",10,"no, I guessed ",10,"prior","weak_or_deterministic","psychological",0.51,"N"
3,198216,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 100, 100, 19, 27, 22, 98, 99, 26, 29, u'?']",10,"no, I guessed ",10,"prior","weak_or_deterministic","psychological",0.67,"O"
4,238352,"prior_manipulation","know when earthquakes are about to happen",1,"[99, 0, 0, 98, 96, 0, 100, 100, 0, 0, u'?']",10,"About 5 in 8 animals have this weird ability.",10,"prior","rare_deterministic","psychological",0.94,"K"
4,238352,"prior_manipulation","know when earthquakes are about to happen",1,"[99, 0, 0, 98, 96, 0, 100, 100, 0, 0, u'?']",10,"About 5 in 8 animals have this weird ability.",10,"prior","rare_deterministic","psychological",0.93,"L"
4,238352,"prior_manipulation","know when earthquakes are about to happen",1,"[99, 0, 0, 98, 96, 0, 100, 100, 0, 0, u'?']",10,"About 5 in 8 animals have this weird ability.",10,"prior","rare_deterministic","psychological",0.94,"M"
4,238352,"prior_manipulation","know when earthquakes are about to happen",1,"[99, 0, 0, 98, 96, 0, 100, 100, 0, 0, u'?']",10,"About 5 in 8 animals have this weird ability.",10,"prior","rare_deterministic","psychological",0.17,"N"
4,238352,"prior_manipulation","know when earthquakes are about to happen",1,"[99, 0, 0, 98, 96, 0, 100, 100, 0, 0, u'?']",10,"About 5 in 8 animals have this weird ability.",10,"prior","rare_deterministic","psychological",0.17,"O"
5,708638,"prior_manipulation","know when earthquakes are about to happen",1,"[73, 25, 76, 24, 75, 75, 73, 25, 25, 25, u'?']",10,"it was the % i think my partner would guess.",10,"prior","weak_or_strong","psychological",0.28,"K"
5,708638,"prior_manipulation","know when earthquakes are about to happen",1,"[73, 25, 76, 24, 75, 75, 73, 25, 25, 25, u'?']",10,"it was the % i think my partner would guess.",10,"prior","weak_or_strong","psychological",0.5,"L"
5,708638,"prior_manipulation","know when earthquakes are about to happen",1,"[73, 25, 76, 24, 75, 75, 73, 25, 25, 25, u'?']",10,"it was the % i think my partner would guess.",10,"prior","weak_or_strong","psychological",0.25,"M"
5,708638,"prior_manipulation","know when earthquakes are about to happen",1,"[73, 25, 76, 24, 75, 75, 73, 25, 25, 25, u'?']",10,"it was the % i think my partner would guess.",10,"prior","weak_or_strong","psychological",0.64,"N"
5,708638,"prior_manipulation","know when earthquakes are about to happen",1,"[73, 25, 76, 24, 75, 75, 73, 25, 25, 25, u'?']",10,"it was the % i think my partner would guess.",10,"prior","weak_or_strong","psychological",0.43,"O"
6,169944,"prior_manipulation","know when earthquakes are about to happen",1,"[48, 0, 50, 0, 51, 0, 0, 48, 52, 0, u'?']",10,"It seems when an animal is able to know when an earthquake is going happen it is close to about half of that kind of animal. ",10,"prior","rare_half","psychological",0.59,"K"
6,169944,"prior_manipulation","know when earthquakes are about to happen",1,"[48, 0, 50, 0, 51, 0, 0, 48, 52, 0, u'?']",10,"It seems when an animal is able to know when an earthquake is going happen it is close to about half of that kind of animal. ",10,"prior","rare_half","psychological",0.01,"L"
6,169944,"prior_manipulation","know when earthquakes are about to happen",1,"[48, 0, 50, 0, 51, 0, 0, 48, 52, 0, u'?']",10,"It seems when an animal is able to know when an earthquake is going happen it is close to about half of that kind of animal. ",10,"prior","rare_half","psychological",0,"M"
6,169944,"prior_manipulation","know when earthquakes are about to happen",1,"[48, 0, 50, 0, 51, 0, 0, 48, 52, 0, u'?']",10,"It seems when an animal is able to know when an earthquake is going happen it is close to about half of that kind of animal. ",10,"prior","rare_half","psychological",0.55,"N"
6,169944,"prior_manipulation","know when earthquakes are about to happen",1,"[48, 0, 50, 0, 51, 0, 0, 48, 52, 0, u'?']",10,"It seems when an animal is able to know when an earthquake is going happen it is close to about half of that kind of animal. ",10,"prior","rare_half","psychological",0.01,"O"
7,164945,"prior_manipulation","know when earthquakes are about to happen",1,"[46, 1, 1, 48, 48, 2, 45, 1, 51, 1, u'?']",10,"because the previous pattern was that almost half of a couple in a row could detect earthquakes and then next animal was low number and then  some high again",10,"prior","rare_half","psychological",0.02,"K"
7,164945,"prior_manipulation","know when earthquakes are about to happen",1,"[46, 1, 1, 48, 48, 2, 45, 1, 51, 1, u'?']",10,"because the previous pattern was that almost half of a couple in a row could detect earthquakes and then next animal was low number and then  some high again",10,"prior","rare_half","psychological",0.52,"L"
7,164945,"prior_manipulation","know when earthquakes are about to happen",1,"[46, 1, 1, 48, 48, 2, 45, 1, 51, 1, u'?']",10,"because the previous pattern was that almost half of a couple in a row could detect earthquakes and then next animal was low number and then  some high again",10,"prior","rare_half","psychological",0.52,"M"
7,164945,"prior_manipulation","know when earthquakes are about to happen",1,"[46, 1, 1, 48, 48, 2, 45, 1, 51, 1, u'?']",10,"because the previous pattern was that almost half of a couple in a row could detect earthquakes and then next animal was low number and then  some high again",10,"prior","rare_half","psychological",0.09,"N"
7,164945,"prior_manipulation","know when earthquakes are about to happen",1,"[46, 1, 1, 48, 48, 2, 45, 1, 51, 1, u'?']",10,"because the previous pattern was that almost half of a couple in a row could detect earthquakes and then next animal was low number and then  some high again",10,"prior","rare_half","psychological",0.5,"O"
8,217379,"prior_manipulation","know when earthquakes are about to happen",1,"[95, 28, 100, 96, 26, 26, 23, 97, 30, 100, u'?']",10,"The first animal scored high, the second one low, the next one higher, then things went between scoring in the 20s and a couple of 100s.",10,"prior","weak_or_deterministic","psychological",1,"K"
8,217379,"prior_manipulation","know when earthquakes are about to happen",1,"[95, 28, 100, 96, 26, 26, 23, 97, 30, 100, u'?']",10,"The first animal scored high, the second one low, the next one higher, then things went between scoring in the 20s and a couple of 100s.",10,"prior","weak_or_deterministic","psychological",0.22,"L"
8,217379,"prior_manipulation","know when earthquakes are about to happen",1,"[95, 28, 100, 96, 26, 26, 23, 97, 30, 100, u'?']",10,"The first animal scored high, the second one low, the next one higher, then things went between scoring in the 20s and a couple of 100s.",10,"prior","weak_or_deterministic","psychological",0.77,"M"
8,217379,"prior_manipulation","know when earthquakes are about to happen",1,"[95, 28, 100, 96, 26, 26, 23, 97, 30, 100, u'?']",10,"The first animal scored high, the second one low, the next one higher, then things went between scoring in the 20s and a couple of 100s.",10,"prior","weak_or_deterministic","psychological",0.14,"N"
8,217379,"prior_manipulation","know when earthquakes are about to happen",1,"[95, 28, 100, 96, 26, 26, 23, 97, 30, 100, u'?']",10,"The first animal scored high, the second one low, the next one higher, then things went between scoring in the 20s and a couple of 100s.",10,"prior","weak_or_deterministic","psychological",0.13,"O"
9,139974,"prior_manipulation","know when earthquakes are about to happen",1,"[96, 100, 98, 0, 100, 0, 97, 0, 0, 0, u'?']",10,"On previous chart, I could guess 3/5 would know when an earthquake would happen.",10,"prior","rare_deterministic","psychological",0.97,"K"
9,139974,"prior_manipulation","know when earthquakes are about to happen",1,"[96, 100, 98, 0, 100, 0, 97, 0, 0, 0, u'?']",10,"On previous chart, I could guess 3/5 would know when an earthquake would happen.",10,"prior","rare_deterministic","psychological",0.02,"L"
9,139974,"prior_manipulation","know when earthquakes are about to happen",1,"[96, 100, 98, 0, 100, 0, 97, 0, 0, 0, u'?']",10,"On previous chart, I could guess 3/5 would know when an earthquake would happen.",10,"prior","rare_deterministic","psychological",0.89,"M"
9,139974,"prior_manipulation","know when earthquakes are about to happen",1,"[96, 100, 98, 0, 100, 0, 97, 0, 0, 0, u'?']",10,"On previous chart, I could guess 3/5 would know when an earthquake would happen.",10,"prior","rare_deterministic","psychological",0.01,"N"
9,139974,"prior_manipulation","know when earthquakes are about to happen",1,"[96, 100, 98, 0, 100, 0, 97, 0, 0, 0, u'?']",10,"On previous chart, I could guess 3/5 would know when an earthquake would happen.",10,"prior","rare_deterministic","psychological",0.9,"O"
10,147700,"prior_manipulation","know when earthquakes are about to happen",1,"[20, 45, 30, 0, 5, 80, 55, 95, 70, 100, u'?']",10,"I gave most of the animals the ability to know when earthquakes are about to happen because most of the examples included animals that know when earthquakes are about to happen. However, I honestly just guessed otherwise.",10,"prior","uniform","psychological",0.48,"K"
10,147700,"prior_manipulation","know when earthquakes are about to happen",1,"[20, 45, 30, 0, 5, 80, 55, 95, 70, 100, u'?']",10,"I gave most of the animals the ability to know when earthquakes are about to happen because most of the examples included animals that know when earthquakes are about to happen. However, I honestly just guessed otherwise.",10,"prior","uniform","psychological",0.84,"L"
10,147700,"prior_manipulation","know when earthquakes are about to happen",1,"[20, 45, 30, 0, 5, 80, 55, 95, 70, 100, u'?']",10,"I gave most of the animals the ability to know when earthquakes are about to happen because most of the examples included animals that know when earthquakes are about to happen. However, I honestly just guessed otherwise.",10,"prior","uniform","psychological",0.05,"M"
10,147700,"prior_manipulation","know when earthquakes are about to happen",1,"[20, 45, 30, 0, 5, 80, 55, 95, 70, 100, u'?']",10,"I gave most of the animals the ability to know when earthquakes are about to happen because most of the examples included animals that know when earthquakes are about to happen. However, I honestly just guessed otherwise.",10,"prior","uniform","psychological",0,"N"
10,147700,"prior_manipulation","know when earthquakes are about to happen",1,"[20, 45, 30, 0, 5, 80, 55, 95, 70, 100, u'?']",10,"I gave most of the animals the ability to know when earthquakes are about to happen because most of the examples included animals that know when earthquakes are about to happen. However, I honestly just guessed otherwise.",10,"prior","uniform","psychological",0.9,"O"
11,65410,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 74, 76, 100, 76, 100, 100, 74, 100, 75, u'?']",10,"similar pattern",10,"prior","strong_or_deterministic","psychological",0.82,"K"
11,65410,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 74, 76, 100, 76, 100, 100, 74, 100, 75, u'?']",10,"similar pattern",10,"prior","strong_or_deterministic","psychological",0.73,"L"
11,65410,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 74, 76, 100, 76, 100, 100, 74, 100, 75, u'?']",10,"similar pattern",10,"prior","strong_or_deterministic","psychological",1,"M"
11,65410,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 74, 76, 100, 76, 100, 100, 74, 100, 75, u'?']",10,"similar pattern",10,"prior","strong_or_deterministic","psychological",0.82,"N"
11,65410,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 74, 76, 100, 76, 100, 100, 74, 100, 75, u'?']",10,"similar pattern",10,"prior","strong_or_deterministic","psychological",1,"O"
12,38434,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 0, 0, 100, 0, 1, 1, 100, 99, 100, u'?']",10,"A gut feeling based on the info",10,"prior","rare_deterministic","psychological",0.48,"K"
12,38434,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 0, 0, 100, 0, 1, 1, 100, 99, 100, u'?']",10,"A gut feeling based on the info",10,"prior","rare_deterministic","psychological",0.42,"L"
12,38434,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 0, 0, 100, 0, 1, 1, 100, 99, 100, u'?']",10,"A gut feeling based on the info",10,"prior","rare_deterministic","psychological",0.44,"M"
12,38434,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 0, 0, 100, 0, 1, 1, 100, 99, 100, u'?']",10,"A gut feeling based on the info",10,"prior","rare_deterministic","psychological",0.46,"N"
12,38434,"prior_manipulation","know when earthquakes are about to happen",1,"[100, 0, 0, 100, 0, 1, 1, 100, 99, 100, u'?']",10,"A gut feeling based on the info",10,"prior","rare_deterministic","psychological",0.55,"O"
13,138205,"prior_manipulation","know when earthquakes are about to happen",1,"[74, 77, 1, 1, 75, 77, 78, 0, 0, 0, u'?']",10,"It follows a similar pattern as animals A, B, C, D, and E. I made a good educated guess based on what I have learned so far.",10,"prior","rare_strong","psychological",0.66,"K"
13,138205,"prior_manipulation","know when earthquakes are about to happen",1,"[74, 77, 1, 1, 75, 77, 78, 0, 0, 0, u'?']",10,"It follows a similar pattern as animals A, B, C, D, and E. I made a good educated guess based on what I have learned so far.",10,"prior","rare_strong","psychological",0.7,"L"
13,138205,"prior_manipulation","know when earthquakes are about to happen",1,"[74, 77, 1, 1, 75, 77, 78, 0, 0, 0, u'?']",10,"It follows a similar pattern as animals A, B, C, D, and E. I made a good educated guess based on what I have learned so far.",10,"prior","rare_strong","psychological",0.03,"M"
13,138205,"prior_manipulation","know when earthquakes are about to happen",1,"[74, 77, 1, 1, 75, 77, 78, 0, 0, 0, u'?']",10,"It follows a similar pattern as animals A, B, C, D, and E. I made a good educated guess based on what I have learned so far.",10,"prior","rare_strong","psychological",0.02,"N"
13,138205,"prior_manipulation","know when earthquakes are about to happen",1,"[74, 77, 1, 1, 75, 77, 78, 0, 0, 0, u'?']",10,"It follows a similar pattern as animals A, B, C, D, and E. I made a good educated guess based on what I have learned so far.",10,"prior","rare_strong","psychological",0.7,"O"
14,188148,"prior_manipulation","know when earthquakes are about to happen",1,"[75, 75, 75, 1, 0, 72, 0, 74, 1, 0, u'?']",10,"It sort of followed the up/down pattern of the precious animals, after ABC. It should be random.",10,"prior","rare_strong","psychological",0.65,"K"
14,188148,"prior_manipulation","know when earthquakes are about to happen",1,"[75, 75, 75, 1, 0, 72, 0, 74, 1, 0, u'?']",10,"It sort of followed the up/down pattern of the precious animals, after ABC. It should be random.",10,"prior","rare_strong","psychological",0.04,"L"
14,188148,"prior_manipulation","know when earthquakes are about to happen",1,"[75, 75, 75, 1, 0, 72, 0, 74, 1, 0, u'?']",10,"It sort of followed the up/down pattern of the precious animals, after ABC. It should be random.",10,"prior","rare_strong","psychological",0.65,"M"
14,188148,"prior_manipulation","know when earthquakes are about to happen",1,"[75, 75, 75, 1, 0, 72, 0, 74, 1, 0, u'?']",10,"It sort of followed the up/down pattern of the precious animals, after ABC. It should be random.",10,"prior","rare_strong","psychological",0.04,"N"
14,188148,"prior_manipulation","know when earthquakes are about to happen",1,"[75, 75, 75, 1, 0, 72, 0, 74, 1, 0, u'?']",10,"It sort of followed the up/down pattern of the precious animals, after ABC. It should be random.",10,"prior","rare_strong","psychological",0.64,"O"
15,105113,"prior_manipulation","know when earthquakes are about to happen",1,"[50, 0, 50, 52, 49, 52, 0, 0, 0, 0, u'?']",10,"it seemed that the most likely patterns were animals that either did not know at all when earthquakes were going to happen or animals that knew this information about half of the time",10,"prior","rare_half","psychological",0.5,"K"
15,105113,"prior_manipulation","know when earthquakes are about to happen",1,"[50, 0, 50, 52, 49, 52, 0, 0, 0, 0, u'?']",10,"it seemed that the most likely patterns were animals that either did not know at all when earthquakes were going to happen or animals that knew this information about half of the time",10,"prior","rare_half","psychological",0.41,"L"
15,105113,"prior_manipulation","know when earthquakes are about to happen",1,"[50, 0, 50, 52, 49, 52, 0, 0, 0, 0, u'?']",10,"it seemed that the most likely patterns were animals that either did not know at all when earthquakes were going to happen or animals that knew this information about half of the time",10,"prior","rare_half","psychological",0,"M"
15,105113,"prior_manipulation","know when earthquakes are about to happen",1,"[50, 0, 50, 52, 49, 52, 0, 0, 0, 0, u'?']",10,"it seemed that the most likely patterns were animals that either did not know at all when earthquakes were going to happen or animals that knew this information about half of the time",10,"prior","rare_half","psychological",0.54,"N"
15,105113,"prior_manipulation","know when earthquakes are about to happen",1,"[50, 0, 50, 52, 49, 52, 0, 0, 0, 0, u'?']",10,"it seemed that the most likely patterns were animals that either did not know at all when earthquakes were going to happen or animals that knew this information about half of the time",10,"prior","rare_half","psychological",0.01,"O"
16,219000,"prior_manipulation","know when earthquakes are about to happen",1,"[77, 76, 100, 100, 100, 97, 75, 96, 75, 74, u'?']",10,"Because after going up, the trend started going down.",10,"prior","strong_or_deterministic","psychological",0.64,"K"
16,219000,"prior_manipulation","know when earthquakes are about to happen",1,"[77, 76, 100, 100, 100, 97, 75, 96, 75, 74, u'?']",10,"Because after going up, the trend started going down.",10,"prior","strong_or_deterministic","psychological",0.53,"L"
16,219000,"prior_manipulation","know when earthquakes are about to happen",1,"[77, 76, 100, 100, 100, 97, 75, 96, 75, 74, u'?']",10,"Because after going up, the trend started going down.",10,"prior","strong_or_deterministic","psychological",0.49,"M"
16,219000,"prior_manipulation","know when earthquakes are about to happen",1,"[77, 76, 100, 100, 100, 97, 75, 96, 75, 74, u'?']",10,"Because after going up, the trend started going down.",10,"prior","strong_or_deterministic","psychological",0.37,"N"
16,219000,"prior_manipulation","know when earthquakes are about to happen",1,"[77, 76, 100, 100, 100, 97, 75, 96, 75, 74, u'?']",10,"Because after going up, the trend started going down.",10,"prior","strong_or_deterministic","psychological",0.28,"O"
17,133080,"prior_manipulation","know when earthquakes are about to happen",1,"[44, 52, 100, 49, 50, 97, 100, 100, 100, 47, u'?']",10,"Some were at around 50 and others were at 100",10,"prior","half_or_deterministic","psychological",0.47,"K"
17,133080,"prior_manipulation","know when earthquakes are about to happen",1,"[44, 52, 100, 49, 50, 97, 100, 100, 100, 47, u'?']",10,"Some were at around 50 and others were at 100",10,"prior","half_or_deterministic","psychological",1,"L"
17,133080,"prior_manipulation","know when earthquakes are about to happen",1,"[44, 52, 100, 49, 50, 97, 100, 100, 100, 47, u'?']",10,"Some were at around 50 and others were at 100",10,"prior","half_or_deterministic","psychological",0.46,"M"
17,133080,"prior_manipulation","know when earthquakes are about to happen",1,"[44, 52, 100, 49, 50, 97, 100, 100, 100, 47, u'?']",10,"Some were at around 50 and others were at 100",10,"prior","half_or_deterministic","psychological",1,"N"
17,133080,"prior_manipulation","know when earthquakes are about to happen",1,"[44, 52, 100, 49, 50, 97, 100, 100, 100, 47, u'?']",10,"Some were at around 50 and others were at 100",10,"prior","half_or_deterministic","psychological",1,"O"
18,124781,"prior_manipulation","know when earthquakes are about to happen",1,"[78, 30, 77, 21, 78, 74, 23, 73, 22, 24, u'?']",10,"I was trying to remember.  I think most were in the 20% range.",10,"prior","weak_or_strong","psychological",0.67,"K"
18,124781,"prior_manipulation","know when earthquakes are about to happen",1,"[78, 30, 77, 21, 78, 74, 23, 73, 22, 24, u'?']",10,"I was trying to remember.  I think most were in the 20% range.",10,"prior","weak_or_strong","psychological",0.2,"L"
18,124781,"prior_manipulation","know when earthquakes are about to happen",1,"[78, 30, 77, 21, 78, 74, 23, 73, 22, 24, u'?']",10,"I was trying to remember.  I think most were in the 20% range.",10,"prior","weak_or_strong","psychological",0.11,"M"
18,124781,"prior_manipulation","know when earthquakes are about to happen",1,"[78, 30, 77, 21, 78, 74, 23, 73, 22, 24, u'?']",10,"I was trying to remember.  I think most were in the 20% range.",10,"prior","weak_or_strong","psychological",0.21,"N"
18,124781,"prior_manipulation","know when earthquakes are about to happen",1,"[78, 30, 77, 21, 78, 74, 23, 73, 22, 24, u'?']",10,"I was trying to remember.  I think most were in the 20% range.",10,"prior","weak_or_strong","psychological",0.27,"O"
19,166525,"prior_manipulation","know when earthquakes are about to happen",1,"[0, 0, 53, 55, 48, 2, 47, 50, 1, 2, u'?']",10,"Because there seemed to be a pattern in which animals could predict earthquakes, at first there were quite a few that couldn&quotechart, followed by some that could, then less than before that couldn&quotechart.",10,"prior","rare_half","psychological",0.37,"K"
19,166525,"prior_manipulation","know when earthquakes are about to happen",1,"[0, 0, 53, 55, 48, 2, 47, 50, 1, 2, u'?']",10,"Because there seemed to be a pattern in which animals could predict earthquakes, at first there were quite a few that couldn&quotechart, followed by some that could, then less than before that couldn&quotechart.",10,"prior","rare_half","psychological",0.32,"L"
19,166525,"prior_manipulation","know when earthquakes are about to happen",1,"[0, 0, 53, 55, 48, 2, 47, 50, 1, 2, u'?']",10,"Because there seemed to be a pattern in which animals could predict earthquakes, at first there were quite a few that couldn&quotechart, followed by some that could, then less than before that couldn&quotechart.",10,"prior","rare_half","psychological",0.03,"M"
19,166525,"prior_manipulation","know when earthquakes are about to happen",1,"[0, 0, 53, 55, 48, 2, 47, 50, 1, 2, u'?']",10,"Because there seemed to be a pattern in which animals could predict earthquakes, at first there were quite a few that couldn&quotechart, followed by some that could, then less than before that couldn&quotechart.",10,"prior","rare_half","psychological",0.03,"N"
19,166525,"prior_manipulation","know when earthquakes are about to happen",1,"[0, 0, 53, 55, 48, 2, 47, 50, 1, 2, u'?']",10,"Because there seemed to be a pattern in which animals could predict earthquakes, at first there were quite a few that couldn&quotechart, followed by some that could, then less than before that couldn&quotechart.",10,"prior","rare_half","psychological",0.28,"O"
20,379680,"prior_manipulation","know when earthquakes are about to happen",1,"[75, 1, 0, 0, 0, 70, 75, 76, 0, 74, u'?']",10,"I divide the total of earthquakes by the total of animals in my head just guessing that would work.",10,"prior","rare_strong","psychological",0.27,"K"
20,379680,"prior_manipulation","know when earthquakes are about to happen",1,"[75, 1, 0, 0, 0, 70, 75, 76, 0, 74, u'?']",10,"I divide the total of earthquakes by the total of animals in my head just guessing that would work.",10,"prior","rare_strong","psychological",0.25,"L"
20,379680,"prior_manipulation","know when earthquakes are about to happen",1,"[75, 1, 0, 0, 0, 70, 75, 76, 0, 74, u'?']",10,"I divide the total of earthquakes by the total of animals in my head just guessing that would work.",10,"prior","rare_strong","psychological",0.26,"M"
20,379680,"prior_manipulation","know when earthquakes are about to happen",1,"[75, 1, 0, 0, 0, 70, 75, 76, 0, 74, u'?']",10,"I divide the total of earthquakes by the total of animals in my head just guessing that would work.",10,"prior","rare_strong","psychological",0.26,"N"
20,379680,"prior_manipulation","know when earthquakes are about to happen",1,"[75, 1, 0, 0, 0, 70, 75, 76, 0, 74, u'?']",10,"I divide the total of earthquakes by the total of animals in my head just guessing that would work.",10,"prior","rare_strong","psychological",0.28,"O"
21,136164,"prior_manipulation","know when earthquakes are about to happen",1,"[51, 0, 2, 48, 0, 49, 51, 0, 48, 0, u'?']",10,"This mimics the other animals.  We will see if the pattern holds.",10,"prior","rare_half","psychological",0.41,"K"
21,136164,"prior_manipulation","know when earthquakes are about to happen",1,"[51, 0, 2, 48, 0, 49, 51, 0, 48, 0, u'?']",10,"This mimics the other animals.  We will see if the pattern holds.",10,"prior","rare_half","psychological",0.04,"L"
21,136164,"prior_manipulation","know when earthquakes are about to happen",1,"[51, 0, 2, 48, 0, 49, 51, 0, 48, 0, u'?']",10,"This mimics the other animals.  We will see if the pattern holds.",10,"prior","rare_half","psychological",0.44,"M"
21,136164,"prior_manipulation","know when earthquakes are about to happen",1,"[51, 0, 2, 48, 0, 49, 51, 0, 48, 0, u'?']",10,"This mimics the other animals.  We will see if the pattern holds.",10,"prior","rare_half","psychological",0.02,"N"
21,136164,"prior_manipulation","know when earthquakes are about to happen",1,"[51, 0, 2, 48, 0, 49, 51, 0, 48, 0, u'?']",10,"This mimics the other animals.  We will see if the pattern holds.",10,"prior","rare_half","psychological",0.45,"O"
